Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,52487295.020163,52.487295,0.052487,85886,0.002318,0.045196,0.047514,0,10,2,2,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,42054909.728662,42.054910,0.042055,85886,0.002776,0.054140,0.056916,0,10,4,4,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,33514788.622251,33.514789,0.033515,85886,0.003287,0.060947,0.064234,0,10,16,16,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,32730409.124895,32.730409,0.032730,85886,0.003335,0.056297,0.059632,0,10,2,2,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23416354.428072,23.416354,0.023416,85886,0.004309,0.060991,0.065300,0,10,4,4,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,14144721.498343,14.144721,0.014145,85886,0.006739,0.063870,0.070609,0,10,16,16,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23838573.074689,23.838573,0.023839,85886,0.004302,0.059054,0.063356,0,10,2,2,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,17295265.244220,17.295265,0.017295,85886,0.005760,0.060855,0.066615,0,10,4,4,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,8233709.076233,8.233709,0.008234,85886,0.011076,0.064145,0.075221,0,10,16,16,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,24922093.969897,24.922094,0.024922,85886,0.004448,0.059143,0.063591,0,10,2,2,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,33721445.771918,33.721446,0.033721,85886,0.003358,0.068242,0.071600,0,10,4,4,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,26291927.620681,26.291928,0.026292,85886,0.004313,0.066525,0.070838,0,10,16,16,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,26431312.480315,26.431312,0.026431,85886,0.003984,0.064712,0.068696,0,10,2,2,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,28168323.236305,28.168323,0.028168,85886,0.004243,0.063304,0.067547,0,10,4,4,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23981437.005610,23.981437,0.023981,85886,0.004684,0.060095,0.064779,0,10,16,16,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23975573.245447,23.975573,0.023976,85886,0.004751,0.055065,0.059816,0,10,2,2,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,19512854.228685,19.512854,0.019513,85886,0.005088,0.063419,0.068508,0,10,4,4,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,15512806.642341,15.512807,0.015513,85886,0.006333,0.067981,0.074314,0,10,16,16,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23421875.421231,23.421875,0.023422,85886,0.005789,0.058584,0.064373,0,10,2,2,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23211324.225151,23.211324,0.023211,85886,0.005601,0.069396,0.074997,0,10,4,4,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,29451614.373263,29.451614,0.029452,85886,0.005623,0.076215,0.081838,0,10,16,16,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,34995509.124187,34.995509,0.034996,85886,0.005351,0.070176,0.075527,0,10,2,2,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,29223970.807498,29.223971,0.029224,85886,0.005872,0.064032,0.069904,0,10,4,4,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,17452958.760142,17.452959,0.017453,85886,0.005520,0.075126,0.080646,0,10,16,16,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23013341.737554,23.013342,0.023013,85886,0.004837,0.067365,0.072202,0,10,2,2,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,23009205.041354,23.009205,0.023009,85886,0.004924,0.091703,0.096627,0,10,4,4,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP Transpose,O2,14919083.848160,14.919084,0.014919,85886,0.006739,0.079565,0.086304,0,10,16,16,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
