Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.000644,0.065244,0.065888,2.146839,0,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
csr_serial_O1,0.001092,0.089836,0.090928,159.703890,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
ell_serial_O1,0.003569,0.078561,0.082131,188.911970,0,100,1,1,16,-1,674017512,2003,2003,42943,84,21,197,14
bcsr_serial_O1,0.001330,0.311410,0.312740,129.509775,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
bell_serial_O1,0.000617,0.075828,0.076446,2.238325,26640,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O1,0.001801,0.300934,0.302735,154.655865,0,100,2,2,16,-1,278304832,2003,2003,42943,84,21,197,14
bell_serial_O1,0.000725,0.078364,0.079089,1.906672,26640,100,2,2,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O1,0.002564,0.308491,0.311055,174.293688,0,100,4,4,16,-1,446685024,2003,2003,42943,84,21,197,14
bell_serial_O1,0.000833,0.076599,0.077432,1.657324,26640,100,4,4,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O1,0.005872,0.309046,0.314918,192.645335,0,100,16,16,16,-1,1131166208,2003,2003,42943,84,21,197,14
bell_serial_O1,0.000983,0.079223,0.080206,1.403292,26640,100,16,16,16,-1,1374176,2003,2003,42943,84,21,197,14
coo_serial_O2,0.000644,0.071611,0.072255,2.143693,0,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
csr_serial_O2,0.000747,0.069186,0.069933,231.285539,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
ell_serial_O2,0.002241,0.074137,0.076378,301.095489,0,100,1,1,16,-1,674017512,2003,2003,42943,84,21,197,14
bcsr_serial_O2,0.000942,0.298065,0.299007,183.143579,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
bell_serial_O2,0.000625,0.076899,0.077524,2.210628,26640,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O2,0.001254,0.293934,0.295188,222.279502,0,100,2,2,16,-1,278304832,2003,2003,42943,84,21,197,14
bell_serial_O2,0.000733,0.076100,0.076834,1.882634,26640,100,2,2,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O2,0.001679,0.303486,0.305165,266.288489,0,100,4,4,16,-1,446685024,2003,2003,42943,84,21,197,14
bell_serial_O2,0.000829,0.077738,0.078567,1.664610,26640,100,4,4,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O2,0.003774,0.300768,0.304542,299.799568,0,100,16,16,16,-1,1131166208,2003,2003,42943,84,21,197,14
bell_serial_O2,0.000984,0.077661,0.078645,1.402538,26640,100,16,16,16,-1,1374176,2003,2003,42943,84,21,197,14
coo_serial_O3,0.000661,0.070728,0.071389,2.089968,0,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
csr_serial_O3,0.000748,0.070291,0.071039,231.008853,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
ell_serial_O3,0.002191,0.077735,0.079926,307.900809,0,100,1,1,16,-1,674017512,2003,2003,42943,84,21,197,14
bcsr_serial_O3,0.000907,0.299759,0.300666,190.156307,0,100,1,1,16,-1,172029658,2003,2003,42943,84,21,197,14
bell_serial_O3,0.000643,0.077695,0.078338,2.149048,26640,100,1,1,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O3,0.001121,0.291288,0.292409,248.617478,0,100,2,2,16,-1,278304832,2003,2003,42943,84,21,197,14
bell_serial_O3,0.000747,0.077587,0.078334,1.849461,26640,100,2,2,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O3,0.001572,0.295848,0.297420,284.436559,0,100,4,4,16,-1,446685024,2003,2003,42943,84,21,197,14
bell_serial_O3,0.000849,0.069526,0.070375,1.626130,26640,100,4,4,16,-1,1374176,2003,2003,42943,84,21,197,14
bcsr_serial_O3,0.003299,0.334889,0.338188,342.971636,0,100,16,16,16,-1,1131166208,2003,2003,42943,84,21,197,14
bell_serial_O3,0.000998,0.079243,0.080241,1.382337,26640,100,16,16,16,-1,1374176,2003,2003,42943,84,21,197,14
