Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,20.974220,1.184600,22.158820,0.230017,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_serial,3.390818,1.148005,4.538823,1.422793,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.568204,1.133905,5.702109,1.056090,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.843995,1.117579,2.961574,2.616295,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.634599,1.134197,1.768796,7.602332,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.612795,1.127880,5.740675,1.045881,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.830176,1.150203,2.980379,2.636049,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.634636,1.143815,1.778451,7.601892,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.613129,1.126333,5.739462,1.045805,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.823498,1.119205,2.942703,2.645703,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.641299,1.165156,1.806455,7.522909,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.582808,1.120647,5.703455,1.052724,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.824996,1.142805,2.967801,2.643531,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.626490,1.137647,1.764137,7.700737,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.604455,1.145147,5.749602,1.047775,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.832261,1.119659,2.951920,2.633049,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.633720,1.119291,1.753011,7.612877,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.624410,1.120319,5.744729,1.043254,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.825271,1.127318,2.952589,2.643133,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.627701,1.124588,1.752289,7.685881,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
coo_omp_gpu,4.797115,1.120629,5.917744,1.005695,120428676,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_gpu,1.945209,1.155141,3.100350,2.480162,120428676,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_serial,21.096289,1.126784,22.223073,0.228686,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_serial,3.340577,1.142746,4.483323,1.444192,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,21.112005,1.133682,22.245687,0.228516,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,4.313532,1.120358,5.433890,1.118442,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,4.248314,1.139058,5.387372,1.135611,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,11.725312,1.175664,12.900976,0.411455,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,2.323567,1.132700,3.456267,2.076305,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,2.332433,1.122331,3.454764,2.068413,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.500963,1.153528,7.654491,0.742111,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,1.263467,1.129755,2.393222,3.818409,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,1.259594,1.123700,2.383294,3.830150,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,4.609052,1.120853,5.729905,1.046730,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,0.822779,1.124311,1.947090,5.863584,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,0.786192,1.117930,1.904122,6.136458,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,4.802365,1.123508,5.925873,1.004595,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
