Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,21.219825,1.120762,22.340587,0.227355,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_serial,3.400737,1.138956,4.539693,1.418644,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,21.524991,1.176025,22.701016,0.224132,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,4.336466,1.186641,5.523107,1.112527,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,4.327326,1.162624,5.489950,1.114876,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,12.053575,1.208720,13.262295,0.400249,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,2.348576,1.163133,3.511709,2.054195,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,2.363370,1.122536,3.485906,2.041336,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.589469,1.160937,7.750406,0.732143,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,1.272946,1.124566,2.397512,3.789976,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,1.274073,1.135012,2.409085,3.786622,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,4.863245,1.166886,6.030131,0.992019,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,0.895108,1.127418,2.022526,5.389779,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,0.869476,1.175514,2.044990,5.548668,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,4.821136,1.129243,5.950379,1.000684,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_gpu,1.826021,1.165025,2.991046,2.642047,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_serial 1 x 1,20.701274,8.437609,29.138883,0.233050,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_serial 1 x 1,3.351609,8.344431,11.696040,1.439438,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_serial 2 x 2,24.640777,8.198281,32.839058,0.233187,0,1,2,2,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_serial 2 x 2,3.693535,8.239412,11.932947,1.555664,0,1,2,2,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr_serial 4 x 4,36.181525,8.554679,44.736204,0.233947,0,1,4,4,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_serial 4 x 4,4.741522,8.668826,13.410348,1.785198,0,1,4,4,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr_serial 16 x 16,101.866569,8.269712,110.136281,0.233095,0,1,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_serial 16 x 16,10.808589,8.434511,19.243100,2.196825,0,1,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 1,20.690617,8.427728,29.118345,0.233170,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 1 x 1 -t bcsstk17,3.372228,8.362517,11.734745,1.430637,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 1 x 1 -t bcsstk17,3.339212,8.559257,11.898469,1.444782,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 2,11.639275,8.403985,20.043260,0.414496,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 1 x 1 -t bcsstk17,2.534747,8.435467,10.970214,1.903320,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 1 x 1 -t bcsstk17,1.840483,8.361569,10.202052,2.621287,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 4,6.336028,8.470547,14.806575,0.761429,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 1 x 1 -t bcsstk17,2.036083,8.399453,10.435536,2.369468,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 1 x 1 -t bcsstk17,0.984833,8.413241,9.398074,4.898733,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 16,4.138856,8.585980,12.724836,1.165644,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 1 x 1 -t bcsstk17,1.912098,8.446821,10.358919,2.523110,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 1 x 1 -t bcsstk17,0.767294,8.420929,9.188223,6.287593,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 1,24.610126,8.245581,32.855707,0.233477,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 2 x 2 -t bcsstk17,3.713717,8.318396,12.032113,1.547210,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 2 x 2 -t bcsstk17,3.708996,8.270658,11.979654,1.549179,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 2,13.385807,8.262327,21.648134,0.429253,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 2 x 2 -t bcsstk17,2.700174,8.354966,11.055140,2.127974,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 2 x 2 -t bcsstk17,2.004431,8.246397,10.250828,2.866598,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 4,6.873681,8.225667,15.099348,0.835927,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp 2 x 2 -t bcsstk17,2.098181,8.184810,10.282991,2.738514,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp 2 x 2 -t bcsstk17,1.035038,8.250974,9.286012,5.551389,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
