Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t bcsstk17,10.102805,1.196717,11.299522,0.477534,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.337765,1.101884,7.439649,0.761220,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.576054,1.168312,7.744366,0.733637,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,10.234831,1.137752,11.372583,0.471374,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,16.597935,1.127556,17.725491,0.290665,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,17.947691,1.214519,19.162210,0.268805,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,11.484548,0.969830,12.454378,0.420080,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 1,9.705276,6.751685,16.456961,0.497094,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 2,5.611638,6.583193,12.194831,0.859719,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 4,4.481953,6.747194,11.229147,1.076413,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 8,6.616252,6.886925,13.503177,0.729179,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 16,7.517664,6.744014,14.261678,0.641746,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 32,7.488967,6.843765,14.332732,0.644206,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 1,11.118127,6.574810,17.692937,0.516805,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 2,6.592138,6.571551,13.163689,0.871629,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 4,4.643966,6.713007,11.356973,1.237283,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
