Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,21.096289,1.126784,22.223073,0.228686,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_serial,3.340577,1.142746,4.483323,1.444192,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,21.112005,1.133682,22.245687,0.228516,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,4.313532,1.120358,5.433890,1.118442,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,4.248314,1.139058,5.387372,1.135611,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,11.725312,1.175664,12.900976,0.411455,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,2.323567,1.132700,3.456267,2.076305,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,2.332433,1.122331,3.454764,2.068413,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.500963,1.153528,7.654491,0.742111,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,1.263467,1.129755,2.393222,3.818409,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,1.259594,1.123700,2.383294,3.830150,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,4.609052,1.120853,5.729905,1.046730,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,0.822779,1.124311,1.947090,5.863584,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,0.786192,1.117930,1.904122,6.136458,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
