Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t bcsstk17,10.102805,1.196717,11.299522,0.477534,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.337765,1.101884,7.439649,0.761220,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.576054,1.168312,7.744366,0.733637,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,10.234831,1.137752,11.372583,0.471374,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,16.597935,1.127556,17.725491,0.290665,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,17.947691,1.214519,19.162210,0.268805,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,11.484548,0.969830,12.454378,0.420080,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
ell_omp -t 1,55.159569,0.982190,56.141759,0.471588,0,1,1,1,1,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 2,31.996893,1.027835,33.024728,0.812972,0,1,1,1,2,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 4,19.557269,1.098795,20.656064,1.330073,0,1,1,1,4,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 8,17.284117,0.959574,18.243691,1.505000,0,1,1,1,8,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 16,17.689461,1.043681,18.733142,1.470514,0,1,1,1,16,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 32,22.799208,0.976512,23.775720,1.140943,0,1,1,1,32,26012594016,10974,10974,219812,108,20,79,8
ell_omp_gpu,16.542199,0.976343,17.518542,1.572499,0,1,1,1,-1,26012594016,10974,10974,219812,108,20,79,8
