Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O3,0.002501,7.565449,7.567950,8773.628741,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,1.782401,7.450179,9.232580,2.707801,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002497,7.431790,7.434287,14046.640377,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.906062,7.533018,8.439080,5.333532,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.003214,7.475978,7.479192,26998.549414,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.460903,7.517274,7.978177,10.537755,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002162,7.342102,7.344264,11684.690505,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,1.092384,7.316750,8.409134,5.266019,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002089,7.404185,7.406274,19250.351621,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.556136,7.342763,7.898899,10.376395,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002970,7.373101,7.376071,36338.651135,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.286952,7.381537,7.668489,20.356095,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002532,7.349845,7.352377,14134.183148,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.780040,7.435336,8.215376,10.876377,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.002399,7.442804,7.445203,23015.113303,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.399305,7.404562,7.803867,21.399491,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.003819,7.429517,7.433336,39951.013738,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.206889,7.423845,7.630734,42.005545,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.004450,7.490710,7.495160,15223.385885,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.560038,7.401215,7.961253,42.543547,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.004234,7.386180,7.390414,27282.510008,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.286371,7.347604,7.633975,84.274950,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_O3,0.004072,7.435873,7.439945,48085.785101,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O3,0.152491,7.368988,7.521479,163.798503,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
