Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,645017364.219445,645.017364,0.645017,439624,0.001315,0.715344,0.716660,16,10,2,2,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,591925434.204161,591.925434,0.591925,439624,0.001414,0.693518,0.694932,16,10,4,4,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,277528573.654897,277.528574,0.277529,439624,0.002205,0.707827,0.710032,16,10,16,16,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,226338430.384476,226.338430,0.226338,439624,0.002485,0.724700,0.727185,64,10,2,2,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,226724444.301373,226.724444,0.226724,439624,0.002547,0.690427,0.692974,64,10,4,4,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,126819051.387150,126.819051,0.126819,439624,0.004212,0.706809,0.711021,64,10,16,16,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,146826058.958790,146.826059,0.146826,439624,0.003553,0.692567,0.696120,128,10,2,2,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,145984417.355923,145.984417,0.145984,439624,0.003711,0.691202,0.694912,128,10,4,4,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,83368462.767953,83.368463,0.083368,439624,0.006182,0.700555,0.706737,128,10,16,16,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,784880467.416846,784.880467,0.784880,439624,0.001520,0.681632,0.683152,16,10,2,2,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,627266960.857731,627.266961,0.627267,439624,0.001670,0.680113,0.681783,16,10,4,4,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,358106838.483955,358.106838,0.358107,439624,0.002060,0.700517,0.702577,16,10,16,16,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,205597322.860615,205.597323,0.205597,439624,0.003088,0.678575,0.681663,64,10,2,2,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,284796032.645362,284.796033,0.284796,439624,0.002599,0.688881,0.691480,64,10,4,4,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,214831267.905661,214.831268,0.214831,439624,0.003365,0.710784,0.714149,64,10,16,16,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,177931802.946099,177.931803,0.177932,439624,0.003803,0.727567,0.731370,128,10,2,2,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,270494166.266784,270.494166,0.270494,439624,0.002883,0.684644,0.687527,128,10,4,4,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,97089150.197712,97.089150,0.097089,439624,0.005770,0.755557,0.761327,128,10,16,16,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,874214631.320787,874.214631,0.874215,439624,0.005181,0.693407,0.698588,16,10,2,2,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1118757139.564402,1118.757140,1.118757,439624,0.001893,0.679692,0.681585,16,10,4,4,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,702867911.029375,702.867911,0.702868,439624,0.002257,0.697118,0.699375,16,10,16,16,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,161626652.794954,161.626653,0.161627,439624,0.004286,0.711311,0.715597,64,10,2,2,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,268274748.044911,268.274748,0.268275,439624,0.002595,0.689876,0.692471,64,10,4,4,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,128297538.413412,128.297538,0.128298,439624,0.006262,0.700748,0.707010,64,10,16,16,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,140923836.413020,140.923836,0.140924,439624,0.005678,0.667214,0.672892,128,10,2,2,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,165459744.820153,165.459745,0.165460,439624,0.004694,0.678130,0.682824,128,10,4,4,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,110891066.754680,110.891067,0.110891,439624,0.005353,0.713310,0.718663,128,10,16,16,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
