,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,1262357888.508506,1262.357889,1.262358,7033984,0.006594,0.74128,0.747875,16,10,4,4,16,8,10974,10974,219812,439624,108,20,5.0,79,8
1,BCSR OMP,O2,3596315925.891794,3596.315926,3.596316,28135936,0.00886,0.766712,0.775572,64,10,4,4,64,8,10974,10974,219812,439624,108,20,5.0,79,8
2,BCSR OMP,O2,5637665430.893485,5637.665431,5.637665,56271872,0.010816,0.782331,0.793147,128,10,4,4,128,8,10974,10974,219812,439624,108,20,5.0,79,8
3,BCSR OMP,O2,877981155.310241,877.981155,0.877981,7033984,0.010543,0.867899,0.878442,16,10,4,4,16,16,10974,10974,219812,439624,108,20,5.0,79,8
4,BCSR OMP,O2,2203668493.869542,2203.668494,2.203668,28135936,0.021322,0.754306,0.775628,64,10,4,4,64,16,10974,10974,219812,439624,108,20,5.0,79,8
5,BCSR OMP,O2,4634323149.752172,4634.32315,4.634323,56271872,0.016904,0.785691,0.802595,128,10,4,4,128,16,10974,10974,219812,439624,108,20,5.0,79,8
6,BCSR OMP,O2,373550617.174102,373.550617,0.373551,7033984,0.054953,0.779641,0.834595,16,10,4,4,16,32,10974,10974,219812,439624,108,20,5.0,79,8
7,BCSR OMP,O2,1788669238.532839,1788.669239,1.788669,28135936,0.04419,0.747845,0.792035,64,10,4,4,64,32,10974,10974,219812,439624,108,20,5.0,79,8
8,BCSR OMP,O2,2810205882.322229,2810.205882,2.810206,56271872,0.049853,0.772825,0.822678,128,10,4,4,128,32,10974,10974,219812,439624,108,20,5.0,79,8
9,BCSR OMP,O2,686863160.550974,686.863161,0.686863,7033984,0.012127,0.762645,0.774772,16,10,2,2,16,8,10974,10974,219812,439624,108,20,5.0,79,8
10,BCSR OMP,O2,1905689649.761816,1905.68965,1.90569,7033984,0.004686,0.79183,0.796516,16,10,16,16,16,8,10974,10974,219812,439624,108,20,5.0,79,8
11,BCSR OMP,O2,1549370614.717124,1549.370615,1.549371,28135936,0.020873,0.769368,0.790241,64,10,2,2,64,8,10974,10974,219812,439624,108,20,5.0,79,8
12,BCSR OMP,O2,3579215726.953289,3579.215727,3.579216,28135936,0.009365,0.759637,0.769001,64,10,16,16,64,8,10974,10974,219812,439624,108,20,5.0,79,8
13,BCSR OMP,O2,3436285972.593984,3436.285973,3.436286,56271872,0.017083,0.740435,0.757518,128,10,2,2,128,8,10974,10974,219812,439624,108,20,5.0,79,8
14,BCSR OMP,O2,5978656612.390676,5978.656612,5.978657,56271872,0.010162,0.801391,0.811553,128,10,16,16,128,8,10974,10974,219812,439624,108,20,5.0,79,8
15,BCSR OMP,O2,384676470.743696,384.676471,0.384676,7033984,0.030603,0.787711,0.818314,16,10,2,2,16,16,10974,10974,219812,439624,108,20,5.0,79,8
16,BCSR OMP,O2,1742269958.138317,1742.269958,1.74227,7033984,0.008671,0.784229,0.7929,16,10,16,16,16,16,10974,10974,219812,439624,108,20,5.0,79,8
17,BCSR OMP,O2,1463951046.18555,1463.951046,1.463951,28135936,0.028115,0.774251,0.802366,64,10,2,2,64,16,10974,10974,219812,439624,108,20,5.0,79,8
18,BCSR OMP,O2,4384811779.319792,4384.811779,4.384812,28135936,0.010575,0.822261,0.832836,64,10,16,16,64,16,10974,10974,219812,439624,108,20,5.0,79,8
19,BCSR OMP,O2,2632030526.065014,2632.030526,2.632031,56271872,0.036912,0.782569,0.819481,128,10,2,2,128,16,10974,10974,219812,439624,108,20,5.0,79,8
20,BCSR OMP,O2,5851725974.948683,5851.725975,5.851726,56271872,0.015798,0.768291,0.784089,128,10,16,16,128,16,10974,10974,219812,439624,108,20,5.0,79,8
21,BCSR OMP,O2,285200272.896092,285.200273,0.2852,7033984,0.072954,0.787802,0.860756,16,10,2,2,16,32,10974,10974,219812,439624,108,20,5.0,79,8
22,BCSR OMP,O2,903533724.487147,903.533724,0.903534,7033984,0.028107,0.785245,0.813352,16,10,16,16,16,32,10974,10974,219812,439624,108,20,5.0,79,8
23,BCSR OMP,O2,1134194909.044881,1134.194909,1.134195,28135936,0.075155,0.752707,0.827862,64,10,2,2,64,32,10974,10974,219812,439624,108,20,5.0,79,8
24,BCSR OMP,O2,1682766822.707658,1682.766823,1.682767,28135936,0.032878,0.792353,0.825231,64,10,16,16,64,32,10974,10974,219812,439624,108,20,5.0,79,8
25,BCSR OMP,O2,1858309701.476961,1858.309701,1.85831,56271872,0.082252,0.765269,0.847521,128,10,2,2,128,32,10974,10974,219812,439624,108,20,5.0,79,8
26,BCSR OMP,O2,3783789663.326679,3783.789663,3.78379,56271872,0.031787,0.800748,0.832535,128,10,16,16,128,32,10974,10974,219812,439624,108,20,5.0,79,8
