,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,187085253.236001,187.085253,0.187085,439624,0.002576,0.31548,0.318056,16,10,2,2,16,-1,10974,10974,219812,439624,108,20,5.0,79,8
1,BCSR Serial,O2,138430134.353761,138.430134,0.13843,439624,0.003457,0.320924,0.324381,16,10,4,4,16,-1,10974,10974,219812,439624,108,20,5.0,79,8
2,BCSR Serial,O2,58086474.483474,58.086474,0.058086,439624,0.007844,0.348877,0.356721,16,10,16,16,16,-1,10974,10974,219812,439624,108,20,5.0,79,8
3,BCSR Serial,O2,92706400.487901,92.7064,0.092706,439624,0.004752,0.25668,0.261432,64,10,2,2,64,-1,10974,10974,219812,439624,108,20,5.0,79,8
4,BCSR Serial,O2,66309093.149591,66.309093,0.066309,439624,0.006639,0.327117,0.333756,64,10,4,4,64,-1,10974,10974,219812,439624,108,20,5.0,79,8
5,BCSR Serial,O2,26426161.186923,26.426161,0.026426,439624,0.016643,0.312526,0.329169,64,10,16,16,64,-1,10974,10974,219812,439624,108,20,5.0,79,8
6,BCSR Serial,O2,53120936.835459,53.120937,0.053121,439624,0.008304,0.269343,0.277647,128,10,2,2,128,-1,10974,10974,219812,439624,108,20,5.0,79,8
7,BCSR Serial,O2,39135429.183592,39.135429,0.039135,439624,0.011252,0.317744,0.328996,128,10,4,4,128,-1,10974,10974,219812,439624,108,20,5.0,79,8
8,BCSR Serial,O2,14562746.911232,14.562747,0.014563,439624,0.0302,0.285775,0.315975,128,10,16,16,128,-1,10974,10974,219812,439624,108,20,5.0,79,8
9,BCSR Serial,O2,2977470882.933177,2977.470883,2.977471,7033984,0.002634,0.4056,0.408234,16,10,2,2,16,-1,10974,10974,219812,439624,108,20,5.0,79,8
10,BCSR Serial,O2,1174648162.852145,1174.648163,1.174648,7033984,0.006003,0.3145,0.320504,16,10,16,16,16,-1,10974,10974,219812,439624,108,20,5.0,79,8
11,BCSR Serial,O2,6389288335.445307,6389.288335,6.389288,28135936,0.004439,0.301867,0.306306,64,10,2,2,64,-1,10974,10974,219812,439624,108,20,5.0,79,8
12,BCSR Serial,O2,1784961156.47775,1784.961156,1.784961,28135936,0.015784,0.273898,0.289682,64,10,16,16,64,-1,10974,10974,219812,439624,108,20,5.0,79,8
13,BCSR Serial,O2,7368651934.247744,7368.651934,7.368652,56271872,0.007689,0.323545,0.331234,128,10,2,2,128,-1,10974,10974,219812,439624,108,20,5.0,79,8
14,BCSR Serial,O2,2091317687.962421,2091.317688,2.091318,56271872,0.026928,0.335611,0.362539,128,10,16,16,128,-1,10974,10974,219812,439624,108,20,5.0,79,8
