Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.001658,0.325989,0.327647,18.025259,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.853667,0.318321,1.171988,0.008249,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.381638,0.342906,0.724544,0.018447,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,1.329303,0.262633,1.591936,0.005292,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.097968,0.339994,0.437962,0.074436,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.001440,0.291593,0.293033,23.116613,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.430870,0.259796,0.690666,0.016396,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.374467,0.339859,0.714326,0.018804,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,0.908387,0.259631,1.168019,0.007744,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.141130,0.344974,0.486104,0.050296,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002781,0.265378,0.268159,37.120858,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.220456,0.243367,0.463823,0.032290,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.375821,0.336243,0.712064,0.018734,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,0.712284,0.342684,1.054968,0.009879,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.206194,0.257171,0.463365,0.034393,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.000746,0.259277,0.260023,16.645314,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.901269,0.247241,1.148510,0.007805,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.373511,0.286096,0.659607,0.018842,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,1.382342,0.274208,1.656550,0.005089,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.099380,0.352351,0.451731,0.074170,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.001556,0.275514,0.277070,26.797206,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.458197,0.243548,0.701746,0.015413,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.372090,0.340251,0.712341,0.018909,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,0.938499,0.351733,1.290232,0.007495,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.138963,0.345438,0.484401,0.051149,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002222,0.337756,0.339978,34.832875,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O2,0.238073,0.246231,0.484304,0.030039,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,0.374889,0.246968,0.621857,0.018767,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
