Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.001749,0.337841,0.339590,19.872867,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.851590,0.324533,1.176123,0.008274,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001334,0.269361,0.270694,25.783305,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.433404,0.245853,0.679257,0.016330,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002164,0.283117,0.285281,53.032922,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.224914,0.246433,0.471347,0.031988,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.000436,0.253093,0.253529,27.512002,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.907298,0.340390,1.247688,0.007764,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001283,0.335255,0.336538,30.313317,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.461398,0.259560,0.720957,0.015311,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001587,0.246398,0.247985,54.560150,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.238881,0.245513,0.484394,0.029984,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.000506,0.242022,0.242528,23.586957,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.973913,0.242233,1.216146,0.007223,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001432,0.332610,0.334042,21.308124,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.500496,0.244638,0.745134,0.014121,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.000985,0.244978,0.245963,49.213505,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.258282,0.244658,0.502940,0.027707,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.000805,0.283252,0.284057,15.458283,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,1.125288,0.246836,1.372124,0.006252,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001743,0.301905,0.303648,20.358788,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.569913,0.267662,0.837575,0.012355,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002251,0.248074,0.250325,31.280016,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.294799,0.246145,0.540945,0.024133,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
