Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.002607,1.570828,1.573435,3.673360,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.946020,1.545417,2.491437,0.007439,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001313,1.480934,1.482247,9.001192,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.495739,1.468947,1.964686,0.014227,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002823,1.436387,1.439210,11.838029,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.273402,1.432859,1.706261,0.025932,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002061,1.495437,1.497498,4.332304,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,1.008661,1.472618,2.481279,0.006976,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001381,1.481398,1.482779,8.109033,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.527608,1.476377,2.003985,0.013363,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002853,1.475699,1.478552,10.865447,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.281249,1.432607,1.713856,0.025159,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002210,1.425811,1.428021,4.016105,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,1.097630,1.484881,2.582512,0.006411,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001481,1.470029,1.471510,7.047874,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.582042,1.472296,2.054338,0.012107,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002203,1.433761,1.435965,9.625377,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.308838,1.434694,1.743532,0.022861,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002482,1.436286,1.438768,3.539153,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,1.265810,1.472792,2.738602,0.005559,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.001537,1.541352,1.542889,6.920627,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.658544,1.473145,2.131689,0.010695,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O3,0.002163,1.548288,1.550451,9.412318,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_collapse_O3,0.355565,1.439313,1.794878,0.019841,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
