Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_transpose_omp_O2,2.032535,1.472917,3.505452,0.003470,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.900759,1.525065,4.425824,0.002427,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.289441,1.499944,1.789385,0.024358,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.015033,1.487073,3.502106,0.003494,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.632396,1.492571,4.124967,0.002692,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.198669,1.451214,1.649883,0.037532,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.006449,1.521116,3.527564,0.003508,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.341782,1.436833,3.778615,0.003025,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.132524,1.555685,1.688209,0.053234,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.031619,1.502526,3.534145,0.003469,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,3.090077,1.488777,4.578855,0.002284,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.288517,1.519127,1.807644,0.024410,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.098360,1.486452,3.584812,0.003399,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.571127,1.554566,4.125693,0.002751,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.169644,1.522269,1.691913,0.041521,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.013045,1.492313,3.505357,0.003496,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.328057,1.434782,3.762839,0.003024,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.134717,1.523789,1.658506,0.052874,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.131052,1.442051,3.573103,0.003343,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,3.074047,1.562495,4.636542,0.002289,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.290127,1.511758,1.801885,0.024293,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.003169,1.485357,3.488526,0.003516,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.732645,1.574573,4.307218,0.002597,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.173243,1.490820,1.664063,0.040712,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.009909,1.473812,3.483721,0.003504,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.372467,1.444688,3.817155,0.002988,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.129232,1.550420,1.679652,0.054585,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.020262,1.495067,3.515328,0.003493,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,3.176892,1.539966,4.716858,0.002215,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.335186,1.470621,1.805807,0.022187,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.012678,1.521801,3.534479,0.003501,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.784747,1.529981,4.314728,0.002549,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.172079,1.470154,1.642233,0.040951,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_O2,2.016002,1.481842,3.497844,0.003494,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_collapse_O2,2.379825,1.446348,3.826173,0.002958,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp_O2,0.140169,1.533986,1.674155,0.050804,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
