Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp_O1,0.037439,0.303283,0.340722,128.860810,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.970619,0.242809,1.213428,4.970471,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.168222,0.219454,0.387676,28.678979,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.987063,0.227228,1.214291,4.887665,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.139157,0.225820,0.364977,34.669043,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O1,0.024539,0.212789,0.237328,196.602754,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.550772,0.296832,0.847604,8.759404,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.147245,0.211980,0.359225,32.764685,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.558277,0.229684,0.787961,8.641650,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.139314,0.221127,0.360441,34.629944,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.010399,0.229979,0.240378,463.927870,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.885842,0.258784,1.144626,5.446156,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.141618,0.225255,0.366873,34.066526,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.949852,0.214162,1.164014,5.079143,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.143983,0.224305,0.368288,33.506939,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.008539,0.219936,0.228475,564.990699,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.518289,0.258881,0.777170,9.308388,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.134615,0.214427,0.349042,35.838768,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.572989,0.242856,0.815845,8.419767,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.145503,0.222993,0.368496,33.156981,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O3,0.002502,0.243242,0.245744,1928.074501,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O3,0.850663,0.256736,1.107399,5.671381,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O3,0.146928,0.211107,0.358035,32.835344,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O3,0.957330,0.302565,1.259895,5.039468,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O3,0.189046,0.315878,0.504924,25.519874,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O3,0.008335,0.214772,0.223107,578.808406,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O3,0.503942,0.270525,0.774467,9.573391,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O3,0.162385,0.221790,0.384175,29.709851,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O3,0.574110,0.214337,0.788447,8.403326,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O3,0.146926,0.319199,0.466125,32.835770,0,1,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
