Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_omp_O1,0.002764,0.256424,0.259187,10090.201360,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_omp_collapse_O1,0.002582,0.348080,0.350662,10211.547714,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O1,0.390576,0.242782,0.633357,66.616273,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O1,0.392010,0.337989,0.730000,66.372020,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O1,0.099145,0.298111,0.397256,263.210391,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_omp_O1,0.001810,0.275556,0.277366,19312.970893,0,100,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_omp_collapse_O1,0.001698,0.243236,0.244934,19410.572945,0,100,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O1,0.381098,0.333350,0.714447,68.272893,0,100,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O1,0.380146,0.267994,0.648140,68.437751,0,100,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O1,0.133987,0.254138,0.388125,194.521396,0,100,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_omp_O1,0.001154,0.337733,0.338887,37434.666515,0,100,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_omp_collapse_O1,0.001038,0.245260,0.246298,37311.152762,0,100,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O1,0.373203,0.335932,0.709135,69.718858,0,100,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O1,0.373874,0.280365,0.654239,69.588804,0,100,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O1,0.196392,0.281262,0.477654,132.770786,0,100,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_omp_O1,0.000880,0.284313,0.285193,68377.219416,0,100,1,1,16,64,26012594016,10974,10974,219812,108,20,79,8
ell_omp_collapse_O1,0.000854,0.355969,0.356823,67202.763891,0,100,1,1,16,64,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O1,0.372692,0.240188,0.612880,69.836890,0,100,1,1,16,64,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O1,0.371430,0.290909,0.662339,70.065276,0,100,1,1,16,64,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O1,0.360228,0.251190,0.611418,72.307559,0,100,1,1,16,64,26012594016,10974,10974,219812,108,20,79,8
ell_omp_O2,0.001449,0.339006,0.340456,22460.051909,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_omp_collapse_O2,0.001392,0.257882,0.259274,20864.507744,0,100,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O2,
