Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp,0.031627,1.447860,1.479487,0.111202,0,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
csr_omp,0.016788,1.518027,1.534815,287.373844,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
ell_omp,0.031473,1.511686,1.543159,826.507133,0,1,1,1,8,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp,0.019411,9.252789,9.272200,248.540114,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
bell_omp,0.016038,1.507943,1.523981,0.219292,113065,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
bcsr_omp,0.021958,9.443749,9.465707,385.490570,0,1,4,4,8,1,8464553472,10974,10974,219812,108,20,79,8
bell_omp,0.016756,1.506706,1.523462,0.209897,113065,1,4,4,8,1,3516992,10974,10974,219812,108,20,79,8
coo_omp,0.018298,1.470856,1.489154,0.384410,0,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
csr_omp,0.021410,1.465172,1.486582,225.335656,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
ell_omp,0.043518,1.508870,1.552388,597.745688,0,1,1,1,16,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp,0.023183,9.108223,9.131406,208.101257,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
bell_omp,0.019175,1.508446,1.527621,0.366835,113065,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
bcsr_omp,0.027118,9.344297,9.371415,312.138195,0,1,4,4,16,1,8464553472,10974,10974,219812,108,20,79,8
bell_omp,0.021175,1.507478,1.528653,0.332185,113065,1,4,4,16,1,7033984,10974,10974,219812,108,20,79,8
coo_omp,0.015789,1.467076,1.482865,0.222749,0,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
csr_omp,0.006025,1.493389,1.499414,800.725808,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
ell_omp,0.009730,1.506880,1.516610,2673.414695,0,1,1,1,8,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp,0.006494,9.113777,9.120271,742.901163,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
bell_omp,0.005976,1.505910,1.511886,0.588500,113065,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
bcsr_omp,0.043759,9.315490,9.359249,193.436294,0,1,4,4,8,8,8464553472,10974,10974,219812,108,20,79,8
bell_omp,0.009495,1.506177,1.515672,0.370404,113065,1,4,4,8,8,3516992,10974,10974,219812,108,20,79,8
coo_omp,0.019133,1.385840,1.404973,0.367639,0,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
csr_omp,0.006742,1.388068,1.394810,715.578962,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
ell_omp,0.015146,1.456079,1.471225,1717.454423,0,1,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp,0.042007,8.887730,8.929737,114.848413,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bell_omp,0.007359,1.540071,1.547430,0.955862,113065,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bcsr_omp,0.066140,9.281141,9.347281,127.979000,0,1,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bell_omp,0.034699,1.733897,1.768596,0.202715,113065,1,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
