Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_gpu_O2,0.007772,0.313592,0.321363,108.180832,395030,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_omp_gpu_O2,0.009600,0.209178,0.218778,26580.495614,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_omp_gpu_O2,0.002558,0.237329,0.239887,85215.507794,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp_gpu_O2,0.004499,7.375739,7.380239,45629.811118,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_omp_gpu_O2,0.001349,0.237891,0.239240,82.634548,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_omp_gpu_O2,0.004093,7.314195,7.318288,61712.067430,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_omp_gpu_O2,0.007120,0.237041,0.244161,29.739049,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_omp_gpu_O2,0.004194,7.281391,7.285585,64457.924387,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_omp_gpu_O2,0.001262,0.238224,0.239486,69.687322,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_omp_gpu_O2,0.003893,7.282255,7.286148,58802.690491,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_omp_gpu_O2,0.001834,0.240096,0.241930,55.875337,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
