Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp,1.945604,1.409875,3.355479,0.001808,0,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
csr_transpose_omp,2.009383,1.357812,3.367195,2.400953,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp,1.934196,1.439918,3.374114,13.448789,0,1,1,1,8,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.917615,8.906441,10.824056,2.515851,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.912973,1.399178,3.312151,0.001838,113065,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.925603,9.100024,11.025627,4.395794,0,1,4,4,8,1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.900976,1.394937,3.295913,0.001850,113065,1,4,4,8,1,3516992,10974,10974,219812,108,20,79,8
coo_transpose_omp,1.920825,1.359431,3.280256,0.003662,0,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
csr_transpose_omp,2.002302,1.354340,3.356642,2.409444,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp,1.941161,1.438742,3.379903,13.400533,0,1,1,1,16,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.923382,8.923577,10.846959,2.508308,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.920508,1.396268,3.316776,0.003663,113065,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.941271,9.108045,11.049316,4.360315,0,1,4,4,16,1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.901469,1.390869,3.292338,0.003699,113065,1,4,4,16,1,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp,1.896606,1.352748,3.249354,0.001854,0,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
csr_transpose_omp,0.313325,1.349219,1.662544,15.397530,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp,1.895412,1.397479,3.292891,13.723979,0,1,1,1,8,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.902143,8.922398,10.824541,2.536315,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.893698,1.398486,3.292184,0.001857,113065,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.912136,9.110753,11.022889,4.426753,0,1,4,4,8,8,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.890132,1.396715,3.286847,0.001861,113065,1,4,4,8,8,3516992,10974,10974,219812,108,20,79,8
coo_transpose_omp,1.901470,1.360294,3.261764,0.003699,0,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
csr_transpose_omp,0.324323,1.354802,1.679125,14.875401,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp,1.901237,1.490365,3.391602,13.681931,0,1,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.912980,8.894351,10.807331,2.521947,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.886194,1.392787,3.278981,0.003729,113065,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bcsr_transpose_omp,1.903051,9.084125,10.987176,4.447886,0,1,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp,1.895463,1.387454,3.282917,0.003711,113065,1,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
