Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_omp,0.415340,1.155268,1.570608,0.008468,0,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp,1.704080,1.175184,2.879264,2.831107,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp,1.555516,1.210102,2.765618,16.722807,0,1,1,1,8,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,1.561608,8.953980,10.515588,3.089402,0,1,1,1,8,1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,1.618416,1.211844,2.830260,0.002173,113065,1,1,1,8,1,3516992,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,1.506713,9.132846,10.639559,5.617894,0,1,4,4,8,1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,1.502894,1.182288,2.685182,0.002340,113065,1,4,4,8,1,3516992,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp,0.376274,1.145143,1.521417,0.018694,0,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp,1.583052,1.173832,2.756884,3.047552,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp,1.526689,1.220094,2.746783,17.038567,0,1,1,1,16,1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,1.502728,8.881402,10.384130,3.210450,0,1,1,1,16,1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,1.515343,1.184404,2.699747,0.004642,113065,1,1,1,16,1,7033984,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,1.476398,8.851971,10.328369,5.733246,0,1,4,4,16,1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,1.469014,1.162748,2.631762,0.004788,113065,1,4,4,16,1,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp,0.372581,1.122074,1.494655,0.009440,0,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp,0.350829,1.116026,1.466855,13.751520,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp,0.348515,1.203630,1.552145,74.638370,0,1,1,1,8,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,0.344300,8.505528,8.849828,14.012295,0,1,1,1,8,8,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,0.365307,1.169067,1.534374,0.009627,113065,1,1,1,8,8,3516992,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,0.331319,8.823085,9.154404,25.548058,0,1,4,4,8,8,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,0.357883,1.229048,1.586931,0.009827,113065,1,4,4,8,8,3516992,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp,0.382064,1.143842,1.525906,0.018410,0,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp,0.374954,1.186313,1.561267,12.866736,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp,0.356335,1.157847,1.514182,73.000406,0,1,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,0.379291,8.531691,8.910982,12.719609,0,1,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,0.358928,1.267259,1.626187,0.019597,113065,1,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp,0.367175,8.780226,9.147401,23.053179,0,1,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_omp_omp,0.368275,1.260515,1.628790,0.019100,113065,1,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
