Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_serial,2.381303,1.680756,4.062059,0.001477,0,1,1,1,8,-1,3516992,10974,10974,219812,108,20,79,8
csr_transpose_serial,2.352412,1.722393,4.074805,2.050846,0,1,1,1,8,-1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_serial,1.903041,1.701718,3.604759,13.668962,0,1,1,1,8,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_serial,1.942202,9.209441,11.151643,2.484002,0,1,1,1,8,-1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_serial,1.973163,1.428314,3.401477,0.001782,113065,1,1,1,8,-1,3516992,10974,10974,219812,108,20,79,8
bcsr_transpose_serial,1.945913,9.194891,11.140804,4.349913,0,1,4,4,8,-1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_serial,1.972608,1.437667,3.410275,0.001783,113065,1,4,4,8,-1,3516992,10974,10974,219812,108,20,79,8
coo_transpose_serial,1.982413,1.404096,3.386509,0.003548,0,1,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_transpose_serial,1.978082,1.393922,3.372004,2.438945,0,1,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_transpose_serial,1.956401,1.447256,3.403657,13.296147,0,1,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_transpose_serial,1.982382,8.918490,10.900872,2.433655,0,1,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_transpose_serial,1.893086,1.439972,3.333058,0.003716,113065,1,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_transpose_serial,1.982810,9.123747,11.106557,4.268968,0,1,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_transpose_serial,1.896707,1.437083,3.333790,0.003709,113065,1,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
