Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,135500466.039577,135.500466,0.135500,6007848,0.044562,12.839153,12.883715,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,266804216.905757,266.804217,0.266804,18630240,0.070030,12.941456,13.011486,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,716695821.041076,716.695821,0.716696,109494272,0.152968,13.950244,14.103211,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,88372984.101601,88.372984,0.088373,6007848,0.068257,12.879117,12.947374,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,172355611.958285,172.355612,0.172356,18630240,0.108475,12.900587,13.009062,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,427037652.968940,427.037653,0.427038,109494272,0.256496,13.662712,13.919208,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,69102022.508967,69.102023,0.069102,6007848,0.087852,12.543533,12.631385,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,125729242.761697,125.729243,0.125729,18630240,0.148630,12.625294,12.773924,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,277130423.138605,277.130423,0.277130,109494272,0.395127,13.655033,14.050160,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,177049621.946218,177.049622,0.177050,6007848,0.034689,12.610776,12.645465,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,337504915.837320,337.504916,0.337505,18630240,0.056052,12.761019,12.817071,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,936073427.714006,936.073428,0.936073,109494272,0.117568,13.737755,13.855323,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,115993708.834766,115.993709,0.115994,6007848,0.052362,12.705577,12.757939,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,220050726.039190,220.050726,0.220051,18630240,0.085031,12.781417,12.866448,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,576032070.963368,576.032071,0.576032,109494272,0.190354,13.710434,13.900788,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,87409445.379543,87.409445,0.087409,6007848,0.069207,12.725007,12.794214,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,172478963.730576,172.478964,0.172479,18630240,0.108288,12.750988,12.859276,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,393965616.582516,393.965617,0.393966,109494272,0.278506,13.728395,14.006901,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,220486242.973370,220.486243,0.220486,6007848,0.028837,12.699622,12.728458,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,421441375.385439,421.441375,0.421441,18630240,0.046061,12.821391,12.867453,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,1218681939.188879,1218.681939,1.218682,109494272,0.091292,13.701573,13.792865,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,154601607.982170,154.601608,0.154602,6007848,0.040287,12.651514,12.691801,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,294600220.741945,294.600221,0.294600,18630240,0.064018,12.820323,12.884341,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,706408335.627268,706.408336,0.706408,109494272,0.155611,13.928902,14.084513,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,119824934.484434,119.824934,0.119825,6007848,0.050868,12.708588,12.759456,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,221384478.989703,221.384479,0.221384,18630240,0.085036,12.849353,12.934389,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,520712788.986429,520.712789,0.520713,109494272,0.210981,13.722398,13.933379,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
