Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1854461594.800678,1854.461595,1.854462,1195456,0.002539,0.998087,1.000625,480,10,2,2,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1905724099.298159,1905.724099,1.905724,1649344,0.003050,0.978662,0.981712,480,10,4,4,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,2118858440.851423,2118.858441,2.118858,6667776,0.007342,1.061499,1.068841,480,10,16,16,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,630973403.220547,630.973403,0.630973,1195456,0.005318,1.014174,1.019492,1920,10,2,2,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,704385466.708442,704.385467,0.704385,1649344,0.006543,0.985030,0.991573,1920,10,4,4,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,818152011.805883,818.152012,0.818152,6667776,0.014139,1.047165,1.061304,1920,10,16,16,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,373927931.610757,373.927932,0.373928,1195456,0.007439,0.973318,0.980757,3840,10,2,2,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,419403687.141345,419.403687,0.419404,1649344,0.008168,0.995994,1.004162,3840,10,4,4,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,476799072.897849,476.799073,0.476799,6667776,0.020983,1.064887,1.085870,3840,10,16,16,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,3639862969.236175,3639.862969,3.639863,1195456,0.002528,1.003341,1.005869,480,10,2,2,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,3731780677.203317,3731.780677,3.731781,1649344,0.002759,0.974518,0.977277,480,10,4,4,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,4355118980.144262,4355.118980,4.355119,6667776,0.006139,1.058992,1.065131,480,10,16,16,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1291836997.793303,1291.836998,1.291837,1195456,0.004248,0.974503,0.978751,1920,10,2,2,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1398182457.617923,1398.182458,1.398182,1649344,0.005039,1.007407,1.012446,1920,10,4,4,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1622297103.098216,1622.297103,1.622297,6667776,0.010143,1.064029,1.074172,1920,10,16,16,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,748762858.793759,748.762859,0.748763,1195456,0.004927,0.997491,1.002418,3840,10,2,2,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,820541815.824685,820.541816,0.820542,1649344,0.006397,1.018006,1.024404,3840,10,4,4,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,928740507.970552,928.740508,0.928741,6667776,0.013636,1.062284,1.075920,3840,10,16,16,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,6730295162.169918,6730.295162,6.730295,1195456,0.002955,1.009260,1.012215,480,10,2,2,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,7413059599.525574,7413.059600,7.413060,1649344,0.002761,0.986527,0.989289,480,10,4,4,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,8111260067.940313,8111.260068,8.111260,6667776,0.004540,1.048958,1.053498,480,10,16,16,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,2073143832.960564,2073.143833,2.073144,1195456,0.003665,0.967490,0.971155,1920,10,2,2,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,2491467083.276538,2491.467083,2.491467,1649344,0.003433,0.940764,0.944197,1920,10,4,4,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,3135257212.123697,3135.257212,3.135257,6667776,0.006851,1.054415,1.061266,1920,10,16,16,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1260171491.377011,1260.171491,1.260171,1195456,0.005481,1.013316,1.018797,3840,10,2,2,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1550117730.906703,1550.117731,1.550118,1649344,0.005235,1.012683,1.017918,3840,10,4,4,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1842636959.137890,1842.636959,1.842637,6667776,0.009741,1.061379,1.071120,3840,10,16,16,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
