Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,70.159518,41.266063,111.425581,3.622676,0,1,1,1,-1,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.321089,40.710342,59.031431,13.872822,0,1,1,1,1,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.002007,41.244981,59.246988,14.118715,0,1,1,1,2,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.211182,41.275737,59.486919,13.956546,0,1,1,1,4,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.403768,41.246390,59.650158,13.810498,0,1,1,1,8,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.257335,41.396756,59.654091,13.921265,0,1,1,1,16,254165203134,62451,62451,2034917,40,32,54,7
coo_omp -t cant,18.318672,41.227378,59.546050,13.874652,0,1,1,1,32,254165203134,62451,62451,2034917,40,32,54,7
coo_omp_gpu,csr_serial,69.701698,40.616192,110.317890,3.646471,0,1,1,1,-1,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,74.010208,40.722165,114.732373,3.434191,0,1,1,1,1,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,43.105532,40.637322,83.742854,5.896348,0,1,1,1,2,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,30.288182,43.944958,74.233140,8.391564,0,1,1,1,4,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,20.332933,41.146994,61.479927,12.500174,0,1,1,1,8,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,17.844655,41.297074,59.141729,14.243212,0,1,1,1,16,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,18.144190,41.204167,59.348357,14.008077,0,1,1,1,32,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_gpu,ell_serial,84.449323,40.946216,125.395539,3.694644,0,1,1,1,-1,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 1,89.941779,41.091138,131.032917,3.469024,0,1,1,1,1,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 2,53.901975,41.003435,94.905410,5.788474,0,1,1,1,2,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 4,38.181961,41.760176,79.942137,8.171665,0,1,1,1,4,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 8,23.174064,41.487122,64.661186,13.463767,0,1,1,1,8,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 16,19.276665,41.662189,60.938854,16.185901,0,1,1,1,16,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 32,19.014860,41.539621,60.554481,16.408756,0,1,1,1,32,312010192080,62451,62451,2034917,40,32,54,7
ell_omp_gpu,bcsr_serial 1 x 1,22.032226,332.172490,354.204716,11.536065,0,1,1,1,-1,254165203134,62451,62451,2034917,40,32,54,7
bcsr_serial 2 x 2,28.813378,329.136179,357.949557,11.882843,0,1,2,2,-1,342384859656,62451,62451,2034917,40,32,54,7
bcsr_serial 4 x 4,39.253859,352.473343,391.727202,12.180277,0,1,4,4,-1,478122857568,62451,62451,2034917,40,32,54,7
bcsr_serial 8 x 8,60.135446,338.500894,398.636340,12.487058,0,1,8,8,-1,750914820864,62451,62451,2034917,40,32,54,7
bcsr_serial 16 x 16,83.911242,333.764458,417.675700,12.630113,0,1,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_serial 32 x 32,114.165899,326.678850,440.844749,12.731049,0,1,32,32,-1,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 1,22.913621,333.603993,356.517614,11.092319,0,1,1,1,1,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 2,12.146450,330.349490,342.495940,20.925061,0,1,1,1,2,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 4,6.411911,329.719023,336.130934,39.639540,0,1,1,1,4,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 8,3.390154,329.995279,333.385433,74.971583,0,1,1,1,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 16,1.875925,330.181558,332.057483,135.487947,0,1,1,1,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 1 x 1 -t 32,1.972118,337.937621,339.909739,128.879314,0,1,1,1,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 1,29.977249,327.353374,357.330623,11.421490,0,1,2,2,1,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 2,15.695180,336.768714,352.463894,21.814650,0,1,2,2,2,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 4,8.237647,328.220552,336.458199,41.563430,0,1,2,2,4,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 8,4.320793,328.564608,332.885401,79.241206,0,1,2,2,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 16,2.349221,335.191995,337.541216,145.743998,0,1,2,2,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 2 x 2 -t 32,1.993549,327.867891,329.861440,171.746409,0,1,2,2,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 1,40.866317,355.517617,396.383934,11.699681,0,1,4,4,1,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 2,21.178832,350.399340,371.578172,22.575506,0,1,4,4,2,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 4,14.090294,360.019609,374.109903,33.932781,0,1,4,4,4,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 8,5.799373,351.428964,357.228337,82.443889,0,1,4,4,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 16,3.057962,351.996306,355.054268,156.353436,0,1,4,4,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 4 x 4 -t 32,2.064042,355.040206,357.104248,231.643947,0,1,4,4,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 1,62.744438,339.007947,401.752385,11.967831,0,1,8,8,1,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 2,32.422847,337.961758,370.384605,23.160052,0,1,8,8,2,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 4,16.727560,341.351672,358.079232,44.890876,0,1,8,8,4,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 8,8.783170,342.501625,351.284795,85.494738,0,1,8,8,8,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 16,4.558833,336.680409,341.239242,164.716453,0,1,8,8,16,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 8 x 8 -t 32,2.680189,338.306003,340.986192,280.172325,0,1,8,8,32,750914820864,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 1,87.491013,336.685993,424.177006,12.113341,0,1,16,16,1,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 2,44.729472,331.067775,375.797247,23.693740,0,1,16,16,2,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 4,23.194737,333.477435,356.672172,45.691764,0,1,16,16,4,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 8,16.066340,334.162184,350.228524,65.964523,0,1,16,16,8,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 16,6.263739,335.011434,341.275173,169.197414,0,1,16,16,16,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 16 x 16 -t 32,3.629209,332.717471,336.346680,292.021883,0,1,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 1,119.075210,330.913884,449.989094,12.206164,0,1,32,32,1,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 2,60.843955,329.518869,390.362824,23.888184,0,1,32,32,2,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 4,31.522622,330.385659,361.908281,46.108207,0,1,32,32,4,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 8,16.564813,330.094887,346.659700,87.743314,0,1,32,32,8,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 16,8.451908,329.932655,338.384563,171.967279,0,1,32,32,16,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp 32 x 32 -t 32,4.837932,326.482085,331.320017,300.428275,0,1,32,32,32,1453451599872,62451,62451,2034917,40,32,54,7
bcsr_omp_gpu 1 x 1,bcsr_omp_gpu 2 x 2,bcsr_omp_gpu 4 x 4,bcsr_omp_gpu 8 x 8,bcsr_omp_gpu 16 x 16,bcsr_omp_gpu 32 x 32,
