Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t cant,73.951820,40.600136,114.551956,0,1,1,1,1,62451,62451,2034917,0,0
csr_omp -t cant,42.696953,40.649720,83.346673,0,1,1,1,2,62451,62451,2034917,0,0
csr_omp -t cant,30.388980,43.983573,74.372553,0,1,1,1,4,62451,62451,2034917,0,0
csr_omp -t cant,20.325821,41.214710,61.540531,0,1,1,1,8,62451,62451,2034917,0,0
csr_omp -t cant,17.879757,41.248869,59.128626,0,1,1,1,16,62451,62451,2034917,0,0
csr_omp -t cant,18.121211,41.269386,59.390597,0,1,1,1,32,62451,62451,2034917,0,0
ell_omp -t 1,90.502247,41.025178,131.527425,0,1,1,1,1,62451,62451,2034917,40,32
ell_omp -t 2,66.894764,41.050152,107.944916,0,1,1,1,2,62451,62451,2034917,40,32
ell_omp -t 4,38.227030,41.484950,79.711980,0,1,1,1,4,62451,62451,2034917,40,32
ell_omp -t 8,22.961668,41.596182,64.557850,0,1,1,1,8,62451,62451,2034917,40,32
ell_omp -t 16,19.247349,41.591915,60.839264,0,1,1,1,16,62451,62451,2034917,40,32
ell_omp -t 32,18.853937,41.685663,60.539600,0,1,1,1,32,62451,62451,2034917,40,32
