Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.036732,285.643089,285.679821,7028.595962,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O2,97.784066,287.012277,384.796343,2.599252,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,40.659439,285.886613,326.546053,6.251102,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,141.134977,287.189447,428.324424,1.800882,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,7.329430,285.739909,293.069339,34.707882,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.028023,286.617787,286.645810,9507.267268,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O2,49.124750,285.686225,334.810975,5.173934,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.776003,286.307743,328.083746,6.084528,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,92.207466,285.804983,378.012449,2.756789,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.150952,286.001353,290.152305,61.348000,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.027644,286.736032,286.763676,10105.383903,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O2,24.657459,286.828932,311.486391,10.308025,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.769294,285.907133,327.676427,6.085662,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,67.620402,286.426442,354.046844,3.759533,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.764546,285.933563,289.698109,67.519103,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.041976,285.549564,285.591540,8206.493075,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O2,64.343405,285.485361,349.828766,5.321283,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.756797,284.188020,325.944817,8.200081,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,107.264016,285.513688,392.777703,3.192109,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
