Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O3,0.039959,289.464399,289.504358,6442.486135,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,97.966071,289.293808,387.259879,2.594423,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.030823,289.847613,289.878436,8466.973898,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,48.948954,291.296361,340.245315,5.192572,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.028120,290.869459,290.897579,9828.081465,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,24.745732,290.477361,315.223093,10.271194,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.040516,287.727368,287.767884,8675.508798,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,64.424517,287.957721,352.382238,5.314556,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.030459,285.951017,285.981476,11676.953454,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,32.233350,288.322026,320.555376,10.622153,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.028427,288.290334,288.318761,13370.239256,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,16.251771,287.694613,303.946384,21.067763,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.045455,284.623110,284.668565,10626.047400,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,45.592460,283.879436,329.471896,10.486969,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.035133,284.112580,284.147713,14008.405277,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,22.866064,284.786902,307.652967,20.909882,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.029663,285.230998,285.260661,17391.586362,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,11.549767,284.972582,296.522349,41.397339,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.062006,285.160414,285.222420,17577.833309,0,10,16,16,16,8,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,24.296730,286.101251,310.397981,43.619708,0,10,16,16,16,8,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.044431,284.899475,284.943906,24889.228093,0,10,16,16,16,16,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,12.212856,285.576683,297.789539,86.778940,0,10,16,16,16,16,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_O3,0.045261,285.999120,286.044381,24074.772287,0,10,16,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_collapse_O3,6.197624,284.932642,291.130266,171.006663,0,10,16,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
