Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,107488354.842000,107.488355,0.107488,4069834,0.038161,5.389359,5.427520,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,98412262.620314,98.412263,0.098412,4069834,0.043138,5.568966,5.612104,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,72199155.174529,72.199155,0.072199,4069834,0.058097,5.628987,5.687084,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,64900434.284730,64.900434,0.064900,4069834,0.063020,5.563231,5.626251,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,56601769.071363,56.601769,0.056602,4069834,0.072249,5.571184,5.643433,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,40626385.042303,40.626385,0.040626,4069834,0.100358,5.653788,5.754146,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,51435659.877536,51.435660,0.051436,4069834,0.079427,5.497489,5.576916,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,46045067.957019,46.045068,0.046045,4069834,0.089619,5.564929,5.654548,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,32029180.222496,32.029180,0.032029,4069834,0.127498,5.610896,5.738394,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,141002537.973122,141.002538,0.141003,4069834,0.029615,5.580416,5.610031,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,122769055.641488,122.769056,0.122769,4069834,0.033958,5.561149,5.595107,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,85238734.272530,85.238734,0.085239,4069834,0.048912,5.654928,5.703839,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,90254226.424536,90.254226,0.090254,4069834,0.045680,5.525276,5.570956,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,76468089.315951,76.468089,0.076468,4069834,0.054590,5.571823,5.626413,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,55108874.118172,55.108874,0.055109,4069834,0.074343,5.662302,5.736645,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,66381322.410184,66.381322,0.066381,4069834,0.061911,5.560562,5.622473,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,59510594.054303,59.510594,0.059511,4069834,0.068863,5.596778,5.665641,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,41595073.498212,41.595073,0.041595,4069834,0.098474,5.658344,5.756818,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,160681881.538507,160.681882,0.160682,4069834,0.026820,5.532471,5.559291,0,10,2,2,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,138341288.418120,138.341288,0.138341,4069834,0.030806,5.591165,5.621972,0,10,4,4,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,101968817.186825,101.968817,0.101969,4069834,0.041428,5.647683,5.689111,0,10,16,16,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,108735772.085003,108.735772,0.108736,4069834,0.039087,5.498041,5.537128,0,10,2,2,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,100210187.538485,100.210188,0.100210,4069834,0.042441,5.602679,5.645120,0,10,4,4,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,66188366.525887,66.188367,0.066188,4069834,0.062695,5.681963,5.744658,0,10,16,16,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,87128879.046849,87.128879,0.087129,4069834,0.047989,5.568253,5.616242,0,10,2,2,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,72549954.911668,72.549955,0.072550,4069834,0.057425,5.560734,5.618159,0,10,4,4,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,52496824.416237,52.496824,0.052497,4069834,0.078355,5.662495,5.740850,0,10,16,16,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
