Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,339931822.419718,339.931822,0.339932,4069834,0.028014,19.630832,19.658846,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,307365266.522329,307.365267,0.307365,4069834,0.026751,19.604292,19.631043,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,183058937.144941,183.058937,0.183059,4069834,0.036004,19.809516,19.845520,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,172335002.484250,172.335002,0.172335,4069834,0.037995,19.576459,19.614454,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,134283427.996515,134.283428,0.134283,4069834,0.046260,19.582027,19.628287,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,95871920.995440,95.871921,0.095872,4069834,0.053506,19.713757,19.767263,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,161190221.462502,161.190221,0.161190,4069834,0.041871,19.577195,19.619066,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,123522285.401983,123.522285,0.123522,4069834,0.047420,19.523806,19.571225,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,74188346.378459,74.188346,0.074188,4069834,0.064924,19.719399,19.784323,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,333573963.216860,333.573963,0.333574,4069834,0.035495,19.564651,19.600146,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,268174057.136404,268.174057,0.268174,4069834,0.037253,19.597997,19.635250,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,192485851.431218,192.485851,0.192486,4069834,0.036585,19.743414,19.779999,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,260243411.429081,260.243411,0.260243,4069834,0.034716,19.569802,19.604518,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,231056194.733925,231.056195,0.231056,4069834,0.032821,19.585170,19.617991,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,137517038.801481,137.517039,0.137517,4069834,0.042779,20.003235,20.046014,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,195065654.323689,195.065654,0.195066,4069834,0.034768,19.575012,19.609780,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,199240873.677401,199.240874,0.199241,4069834,0.036978,19.551913,19.588891,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,139407206.183634,139.407206,0.139407,4069834,0.045506,19.708183,19.753689,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,663253047.534585,663.253048,0.663253,4069834,0.023502,19.551397,19.574899,0,10,2,2,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,348283883.719463,348.283884,0.348284,4069834,0.028499,19.560644,19.589143,0,10,4,4,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,277997488.638370,277.997489,0.277997,4069834,0.033354,19.720126,19.753481,0,10,16,16,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,218868716.461852,218.868716,0.218869,4069834,0.034205,19.591755,19.625960,0,10,2,2,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,152139253.967359,152.139254,0.152139,4069834,0.040739,19.699328,19.740067,0,10,4,4,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,170907597.528781,170.907598,0.170908,4069834,0.039818,19.694570,19.734388,0,10,16,16,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,160617821.094549,160.617821,0.160618,4069834,0.042504,19.554919,19.597423,0,10,2,2,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,186744347.790523,186.744348,0.186744,4069834,0.035179,19.598006,19.633185,0,10,4,4,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP,O2,117856666.201779,117.856666,0.117857,4069834,0.047586,19.728922,19.776508,0,10,16,16,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
