,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,651466629.909478,651.46663,0.651467,65117344,0.158331,19.800595,19.958926,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
1,BCSR OMP,O2,2833566241.310737,2833.566241,2.833566,260469376,0.141072,19.690755,19.831826,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
2,BCSR OMP,O2,3084409584.628307,3084.409585,3.08441,520938752,0.280597,19.667363,19.94796,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
3,BCSR OMP,O2,517395109.542311,517.39511,0.517395,65117344,0.176406,19.73935,19.915756,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
4,BCSR OMP,O2,2684630916.119253,2684.630916,2.684631,260469376,0.220029,19.714566,19.934595,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
5,BCSR OMP,O2,4688046514.777181,4688.046515,4.688047,520938752,0.247443,19.734709,19.982152,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
6,BCSR OMP,O2,479319476.229902,479.319476,0.479319,65117344,0.228607,19.723474,19.952081,0,10,4,4,16,32,62451,62451,2034917,4069834,40,32,1.0,54,7
7,BCSR OMP,O2,1329323617.985652,1329.323618,1.329324,260469376,0.323927,19.730652,20.054579,0,10,4,4,64,32,62451,62451,2034917,4069834,40,32,1.0,54,7
8,BCSR OMP,O2,1837538713.454945,1837.538713,1.837539,520938752,0.342233,19.739064,20.081297,0,10,4,4,128,32,62451,62451,2034917,4069834,40,32,1.0,54,7
9,BCSR OMP,O2,416277013.449666,416.277013,0.416277,65117344,0.197087,19.760835,19.957922,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
10,BCSR OMP,O2,980549434.603318,980.549435,0.980549,65117344,0.137363,19.79796,19.935323,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
11,BCSR OMP,O2,2046357750.26719,2046.35775,2.046358,260469376,0.177713,19.632605,19.810318,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
12,BCSR OMP,O2,2639867364.717355,2639.867365,2.639867,260469376,0.160596,19.825083,19.985679,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
13,BCSR OMP,O2,2923926209.819231,2923.92621,2.923926,520938752,0.196187,19.692017,19.888204,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
14,BCSR OMP,O2,4018818365.439762,4018.818365,4.018818,520938752,0.2012,19.955905,20.157105,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
15,BCSR OMP,O2,408299306.667649,408.299307,0.408299,65117344,0.219739,19.685452,19.905191,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
16,BCSR OMP,O2,683540646.395868,683.540646,0.683541,65117344,0.15262,19.86731,20.01993,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
17,BCSR OMP,O2,1243490573.289752,1243.490573,1.243491,260469376,0.293865,19.72911,20.022975,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
18,BCSR OMP,O2,2568756502.426964,2568.756502,2.568757,260469376,0.204581,19.873781,20.078362,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
19,BCSR OMP,O2,3129050792.90543,3129.050793,3.129051,520938752,0.189244,19.225739,19.414983,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
20,BCSR OMP,O2,6181161250.885187,6181.161251,6.181161,520938752,0.19454,19.848307,20.042847,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
21,BCSR OMP,O2,213400705.005568,213.400705,0.213401,65117344,0.404042,19.726808,20.13085,0,10,2,2,16,32,62451,62451,2034917,4069834,40,32,1.0,54,7
22,BCSR OMP,O2,864166237.787612,864.166238,0.864166,65117344,0.24011,19.842261,20.082371,0,10,16,16,16,32,62451,62451,2034917,4069834,40,32,1.0,54,7
23,BCSR OMP,O2,639138165.858577,639.138166,0.639138,260469376,0.447157,19.780061,20.227218,0,10,2,2,64,32,62451,62451,2034917,4069834,40,32,1.0,54,7
24,BCSR OMP,O2,2470855446.484148,2470.855446,2.470855,260469376,0.223473,19.886764,20.110237,0,10,16,16,64,32,62451,62451,2034917,4069834,40,32,1.0,54,7
25,BCSR OMP,O2,1296866524.154952,1296.866524,1.296867,520938752,0.530031,19.690793,20.220824,0,10,2,2,128,32,62451,62451,2034917,4069834,40,32,1.0,54,7
26,BCSR OMP,O2,4340738214.919192,4340.738215,4.340738,520938752,0.340357,19.796443,20.1368,0,10,16,16,128,32,62451,62451,2034917,4069834,40,32,1.0,54,7
