Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,760492.093266,0.760492,0.000760,4069834,9.428408,19.603079,29.031487,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,936541.724862,0.936542,0.000937,4069834,6.192336,19.525396,25.717732,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1278971.691969,1.278972,0.001279,4069834,5.379827,19.632329,25.012156,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,958938.420727,0.958938,0.000959,4069834,6.326927,19.480771,25.807698,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,833250.821101,0.833251,0.000833,4069834,9.336360,19.534062,28.870422,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,809605.397748,0.809605,0.000810,4069834,8.223648,19.826291,28.049939,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,784986.507713,0.784987,0.000785,4069834,8.675636,19.491049,28.166685,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,883093.144923,0.883093,0.000883,4069834,6.623169,19.603137,26.226306,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1026261.539323,1.026262,0.001026,4069834,7.111507,19.692928,26.804435,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2036795.510926,2.036796,0.002037,4069834,3.288167,19.499643,22.787810,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1837997.713618,1.837998,0.001838,4069834,3.480262,19.518098,22.998360,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1915840.310439,1.915840,0.001916,4069834,3.533447,19.638612,23.172059,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1908796.392397,1.908796,0.001909,4069834,3.600357,19.484427,23.084784,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1626597.365003,1.626597,0.001627,4069834,4.500447,19.531994,24.032441,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1778022.417351,1.778022,0.001778,4069834,3.815069,19.686358,23.501427,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1748885.066922,1.748885,0.001749,4069834,3.959947,19.501263,23.461210,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1001865.925390,1.001866,0.001002,4069834,6.141175,19.541223,25.682398,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1584473.313297,1.584473,0.001584,4069834,4.149612,19.653321,23.802933,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2304119.253925,2.304119,0.002304,4069834,3.495409,19.548933,23.044342,0,10,2,2,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2980066.358474,2.980066,0.002980,4069834,2.705691,19.547921,22.253611,0,10,4,4,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2311143.487266,2.311143,0.002311,4069834,3.241491,19.638100,22.879591,0,10,16,16,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2646173.969055,2.646174,0.002646,4069834,2.995660,19.519412,22.515072,0,10,2,2,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2037412.033329,2.037412,0.002037,4069834,3.409260,19.675241,23.084501,0,10,4,4,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2633967.670316,2.633968,0.002634,4069834,3.093625,19.685283,22.778908,0,10,16,16,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2782496.035051,2.782496,0.002782,4069834,3.238354,19.541484,22.779838,0,10,2,2,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1974599.580221,1.974600,0.001975,4069834,3.890569,19.568414,23.458983,0,10,4,4,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2638663.974250,2.638664,0.002639,4069834,2.701498,19.695376,22.396874,0,10,16,16,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
