,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,174251209.972736,174.25121,0.174251,4069834,0.023377,5.552191,5.575568,0,10,2,2,16,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
1,BCSR Serial,O2,129986217.840218,129.986218,0.129986,4069834,0.031328,5.800796,5.832124,0,10,4,4,16,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
2,BCSR Serial,O2,68044957.40605,68.044957,0.068045,4069834,0.059846,5.932078,5.991924,0,10,16,16,16,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
3,BCSR Serial,O2,73789487.005398,73.789487,0.073789,4069834,0.055155,5.541553,5.596708,0,10,2,2,64,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
4,BCSR Serial,O2,53078074.617015,53.078075,0.053078,4069834,0.076677,5.628032,5.704709,0,10,4,4,64,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
5,BCSR Serial,O2,27111995.364981,27.111995,0.027112,4069834,0.150114,5.69421,5.844324,0,10,16,16,64,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
6,BCSR Serial,O2,39806989.904587,39.80699,0.039807,4069834,0.102245,5.563506,5.665751,0,10,2,2,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
7,BCSR Serial,O2,30069241.116112,30.069241,0.030069,4069834,0.135352,5.656898,5.79225,0,10,4,4,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
8,BCSR Serial,O2,14954622.115935,14.954622,0.014955,4069834,0.272148,5.801935,6.074083,0,10,16,16,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
9,BCSR Serial,O2,2810203179.2357,2810.203179,2.810203,65117344,0.023185,5.522797,5.545982,0,10,2,2,16,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
10,BCSR Serial,O2,1279460983.541398,1279.460984,1.279461,65117344,0.050914,5.741548,5.792462,0,10,16,16,16,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
11,BCSR Serial,O2,4742058980.29417,4742.05898,4.742059,260469376,0.054936,5.490283,5.545219,0,10,2,2,64,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
12,BCSR Serial,O2,1903603770.38775,1903.60377,1.903604,260469376,0.136832,5.612243,5.749075,0,10,16,16,64,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
13,BCSR Serial,O2,5491116886.514366,5491.116887,5.491117,520938752,0.094877,5.466845,5.561722,0,10,2,2,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
14,BCSR Serial,O2,2118593228.791622,2118.593229,2.118593,520938752,0.24589,5.612223,5.858113,0,10,16,16,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7
