Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.017466,42.297258,42.314724,3.746472,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,130.579846,41.887845,172.467691,0.000499,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,77.147481,41.931284,119.078765,0.000849,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,218.171619,41.794433,259.966052,0.000299,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,16.561948,43.660169,60.222117,0.004014,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.011500,43.344204,43.355704,6.139337,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,66.068497,41.724132,107.792629,0.000986,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,78.744749,44.511968,123.256717,0.000829,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,151.016153,42.424285,193.440438,0.000432,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,12.262659,41.878337,54.140996,0.005400,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.006962,41.880358,41.887319,11.579985,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,34.887480,42.011834,76.899314,0.001867,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,78.737152,41.796793,120.533945,0.000830,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,117.544056,41.960934,159.504990,0.000556,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,8.424491,43.571871,51.996362,0.007846,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.019808,43.498790,43.518598,3.424230,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,134.858313,41.840594,176.698907,0.000483,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,79.888847,44.181222,124.070069,0.000819,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,220.910822,41.534153,262.444975,0.000295,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,17.050017,41.940564,58.990581,0.003910,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.011878,43.431112,43.442991,5.877178,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,68.299818,41.893403,110.193221,0.000953,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,79.984173,44.354140,124.338313,0.000819,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,152.796598,45.188175,197.984773,0.000427,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,12.028206,41.854181,53.882387,0.005469,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.008912,43.847082,43.855994,9.718428,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O2,35.968472,41.926838,77.895310,0.001810,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,
