Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.017462,42.599457,42.616919,3.863571,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,130.558379,43.700150,174.258529,0.000499,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.008101,41.498470,41.506571,8.349453,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,66.121391,43.898442,110.019833,0.000985,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.007754,41.457689,41.465443,10.284201,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,34.931203,42.794095,77.725298,0.001864,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.033826,43.844641,43.878467,3.311388,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,134.964591,43.902064,178.866655,0.000482,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.028924,42.179723,42.208647,4.743911,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,68.359168,44.044143,112.403312,0.000953,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.007704,41.498849,41.506554,10.036491,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,36.090905,44.269522,80.360427,0.001804,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.035934,43.908429,43.944363,3.393857,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,139.912189,44.067339,183.979528,0.000465,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.011153,41.549975,41.561127,6.115644,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,70.884886,43.783234,114.668120,0.000919,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.008037,41.549216,41.557253,10.061181,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,37.528110,41.580640,79.108750,0.001735,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.033008,44.188664,44.221672,3.059332,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,146.920405,44.270250,191.190656,0.000443,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.011837,41.556151,41.567988,5.799330,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,74.403603,43.913983,118.317586,0.000875,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.008026,41.362933,41.370959,9.444770,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,39.357036,43.689016,83.046052,0.001655,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
