Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_gpu_O2,0.023984,5.324729,5.348713,2.933677,3033670,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_omp_gpu_O2,0.023802,5.390271,5.414073,13126.145916,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_omp_gpu_O2,0.028183,5.648918,5.677101,13012.083954,0,10,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_omp_gpu_O2,0.037616,285.548553,285.586169,7910.716613,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_omp_gpu_O2,0.022333,5.646859,5.669192,3.664397,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_omp_gpu_O2,0.036711,285.433703,285.470414,11282.158609,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_omp_gpu_O2,0.022090,5.637443,5.659533,3.607941,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_omp_gpu_O2,0.035835,282.029891,282.065726,14928.842227,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_omp_gpu_O2,0.023638,5.671262,5.694900,3.372426,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_omp_gpu_O2,0.043279,282.476549,282.519828,26870.627006,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_omp_gpu_O2,0.029143,5.682659,5.711802,2.763136,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
