Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O3,0.011969,5.341482,5.353451,5.441917,0,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O3,0.012759,5.355274,5.368033,19922.504489,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O3,0.016638,5.588386,5.605024,18762.997761,0,10,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.021232,290.156644,290.177876,11973.342037,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.012159,5.628794,5.640953,5.357637,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.021803,288.432924,288.454727,15706.459557,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.014317,5.706999,5.721316,4.557612,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.026256,284.206459,284.232715,18215.236890,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.013410,5.446683,5.460093,4.860410,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.051724,289.546990,289.598714,20496.745034,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.014019,5.612252,5.626271,4.648581,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
