Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.058653,40.915773,40.974426,1.110458,0,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O1,0.086712,40.772622,40.859334,2961.252582,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O1,0.100601,43.191327,43.291928,3101.886765,0,100,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O1,0.092527,344.738177,344.830704,2747.349101,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O1,0.059209,41.250176,41.309385,1.099929,1510685,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O1,0.115255,340.251167,340.366422,2995.416736,0,100,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O1,0.063244,43.247355,43.310599,1.029985,1510685,100,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O1,0.119834,348.493091,348.612925,3990.493609,0,100,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O1,0.066940,41.221141,41.288081,0.973020,1510685,100,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O1,0.200423,335.748536,335.948959,5288.198577,0,100,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O1,0.069465,41.254931,41.324396,0.937577,1510685,100,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
coo_serial_O2,0.061334,41.052550,41.113884,1.061864,0,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O2,0.067837,40.823690,40.891527,3747.443586,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O2,0.089028,41.464018,41.553046,3505.208474,0,100,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.067182,336.783035,336.850217,3784.337797,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.060383,41.480677,41.541060,1.078579,1510685,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.072464,329.829446,329.901910,4725.474801,0,100,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.065563,41.541347,41.606910,0.993397,1510685,100,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.079643,336.061342,336.140985,6004.055964,0,100,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.069790,41.526423,41.596213,0.933214,1510685,100,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.136555,326.996997,327.133552,7761.639677,0,100,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.072787,41.441609,41.514396,0.894830,1510685,100,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
coo_serial_O3,0.060849,40.811042,40.871891,1.070460,0,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O3,0.067700,41.032196,41.099896,3755.054738,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O3,0.088161,41.159524,41.247685,3539.801217,0,100,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.065219,333.064511,333.129730,3897.870078,0,100,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.060081,41.390569,41.450650,1.084063,1510685,100,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.067557,328.853579,328.921136,5069.480259,0,100,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.064547,41.250246,41.314793,1.009087,1510685,100,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.074129,337.888558,337.962687,6451.044951,0,100,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.069031,41.247993,41.317024,0.943419,1510685,100,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.120836,330.368249,330.489085,8771.248339,0,100,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.071828,41.291209,41.363037,0.906685,1510685,100,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
