Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O3,0.061261,42.839850,42.901111,1.063607,0,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O3,0.067187,40.908031,40.975218,3785.256286,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O3,0.089458,41.573874,41.663332,3490.108877,0,10,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.064212,344.375170,344.439382,3958.265948,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.060417,41.527332,41.587749,1.078515,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.066895,330.164858,330.231753,5122.967447,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.065287,41.527652,41.592939,0.997985,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.073883,339.875555,339.949438,6474.069174,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.070195,41.543303,41.613498,0.928426,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O3,0.121190,329.699324,329.820514,8747.432163,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O3,0.072410,41.491109,41.563519,0.899720,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
