Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000538,0.027135,0.027673,4.350368,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000390,0.021792,0.022182,4.206161,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.015291,0.021589,0.036880,0.079457,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.016236,0.026733,0.042970,0.072674,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.024403,0.029639,0.054042,0.043139,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000756,0.027898,0.028654,4.477129,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000576,0.021939,0.022515,3.770960,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.010220,0.021437,0.031657,0.104859,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.010192,0.026852,0.037044,0.105176,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.024292,0.027264,0.051556,0.043321,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000340,0.029606,0.029946,5.274063,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000539,0.021790,0.022329,4.413039,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.010136,0.021710,0.031846,0.105694,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.009976,0.027122,0.037098,0.105930,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.025082,0.027479,0.052560,0.041953,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000694,0.029487,0.030181,4.256767,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000530,0.021957,0.022487,4.677242,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.010218,0.021520,0.031738,0.104921,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.010267,0.026783,0.037050,0.104358,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.024488,0.027529,0.052017,0.042912,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000387,0.029163,0.029550,4.437811,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.001020,0.021957,0.022977,1.603634,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010208,0.021540,0.031748,0.104974,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.010143,0.027386,0.037529,0.105655,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025050,0.027347,0.052397,0.041971,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000560,0.030421,0.030981,4.023085,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000544,0.022215,0.022759,3.420867,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010004,0.021558,0.031562,0.105645,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.010211,0.027501,0.037712,0.104901,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.024724,0.027098,0.051822,0.042438,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000980,0.029540,0.030520,1.702268,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000633,0.022156,0.022789,3.025559,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010183,0.021841,0.032024,0.105252,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.010244,0.030264,0.040508,0.104663,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025165,0.027472,0.052637,0.041702,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.001919,0.028858,0.030777,0.638640,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000517,0.028251,0.028768,3.909489,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
