Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.000093,0.008097,0.008190,1.430828,0,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
csr_serial_O1,0.000127,0.003245,0.003372,33.213038,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
ell_serial_O1,0.000147,0.008859,0.009007,31.033333,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
bcsr_serial_O1,0.000212,0.030729,0.030941,19.670331,28,100,1,1,16,-1,4164608,512,512,4096,8,8,0,0
bell_serial_O1,0.000106,0.009367,0.009473,1.339064,3681,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O1,0.000533,0.016146,0.016679,30.501647,28,100,2,2,16,-1,16240640,512,512,4096,8,8,0,0
bell_serial_O1,0.000092,0.003626,0.003718,1.427741,3681,100,2,2,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O1,0.001836,0.017710,0.019546,32.524200,28,100,4,4,16,-1,59719680,512,512,4096,8,8,0,0
bell_serial_O1,0.000092,0.003688,0.003780,1.430115,3681,100,4,4,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O1,0.008088,0.020036,0.028124,32.703127,28,100,16,16,16,-1,264503296,512,512,4096,8,8,0,0
bell_serial_O1,0.000138,0.011843,0.011981,0.952659,3681,100,16,16,16,-1,131072,512,512,4096,8,8,0,0
coo_serial_O2,0.000120,0.004551,0.004671,1.152580,0,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
csr_serial_O2,0.000137,0.003107,0.003244,30.643515,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
ell_serial_O2,0.000140,0.003624,0.003764,29.915132,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
bcsr_serial_O2,0.000155,0.015270,0.015425,26.915822,28,100,1,1,16,-1,4164608,512,512,4096,8,8,0,0
bell_serial_O2,0.000163,0.008996,0.009159,0.832401,3681,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O2,0.000594,0.020627,0.021221,27.385730,28,100,2,2,16,-1,16240640,512,512,4096,8,8,0,0
bell_serial_O2,0.000161,0.007625,0.007786,0.822445,3681,100,2,2,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O2,0.002029,0.022675,0.024704,29.441083,28,100,4,4,16,-1,59719680,512,512,4096,8,8,0,0
bell_serial_O2,0.000099,0.003715,0.003814,1.321901,3681,100,4,4,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O2,0.008803,0.019578,0.028381,30.046208,28,100,16,16,16,-1,264503296,512,512,4096,8,8,0,0
bell_serial_O2,0.000100,0.003723,0.003823,1.315448,3681,100,16,16,16,-1,131072,512,512,4096,8,8,0,0
coo_serial_O3,0.000100,0.003072,0.003172,1.312989,0,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
csr_serial_O3,0.000135,0.003167,0.003301,31.201665,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
ell_serial_O3,0.000134,0.003544,0.003678,31.395477,0,100,1,1,16,-1,4194304,512,512,4096,8,8,0,0
bcsr_serial_O3,0.000153,0.015472,0.015625,27.243703,28,100,1,1,16,-1,4164608,512,512,4096,8,8,0,0
bell_serial_O3,0.000099,0.003634,0.003732,1.332727,3681,100,1,1,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O3,0.000542,0.015513,0.016055,29.978231,28,100,2,2,16,-1,16240640,512,512,4096,8,8,0,0
bell_serial_O3,0.000100,0.003706,0.003806,1.310932,3681,100,2,2,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O3,0.001761,0.017487,0.019248,33.922459,28,100,4,4,16,-1,59719680,512,512,4096,8,8,0,0
bell_serial_O3,0.000151,0.011709,0.011860,0.869991,3681,100,4,4,16,-1,131072,512,512,4096,8,8,0,0
bcsr_serial_O3,0.007510,0.025914,0.033424,35.221110,28,100,16,16,16,-1,264503296,512,512,4096,8,8,0,0
bell_serial_O3,0.000150,0.010861,0.011011,0.880911,3681,100,16,16,16,-1,131072,512,512,4096,8,8,0,0
