Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.018724,6.050022,6.068746,0.829973,0,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
csr_serial_O1,0.023424,6.036231,6.059655,978.503454,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
ell_serial_O1,0.024577,6.190860,6.215437,953.796565,0,100,1,1,16,-1,23313091200,23560,23560,484256,21,20,1,1
bcsr_serial_O1,0.026433,44.562089,44.588522,868.919992,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
bell_serial_O1,0.018851,6.199435,6.218286,0.825299,442287,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O1,0.032455,42.945151,42.977606,871.907715,0,100,2,2,16,-1,28164943360,23560,23560,484256,21,20,1,1
bell_serial_O1,0.018920,6.209165,6.228085,0.824095,442287,100,2,2,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O1,0.035201,45.759637,45.794839,1108.587985,0,100,4,4,16,-1,38858544640,23560,23560,484256,21,20,1,1
bell_serial_O1,0.018890,6.201731,6.220621,0.823603,442287,100,4,4,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O1,0.085999,43.016004,43.102002,1830.026505,0,100,16,16,16,-1,157092802560,23560,23560,484256,21,20,1,1
bell_serial_O1,0.019381,6.201540,6.220921,0.805227,442287,100,16,16,16,-1,15496192,23560,23560,484256,21,20,1,1
coo_serial_O2,0.019572,6.038099,6.057671,0.796246,0,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
csr_serial_O2,0.021809,6.092829,6.114638,1053.405929,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
ell_serial_O2,0.022592,6.138681,6.161273,1041.808228,0,100,1,1,16,-1,23313091200,23560,23560,484256,21,20,1,1
bcsr_serial_O2,0.023108,42.972441,42.995549,993.187046,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
bell_serial_O2,0.019327,6.157182,6.176509,0.811594,442287,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O2,0.027379,43.148648,43.176027,1035.647103,0,100,2,2,16,-1,28164943360,23560,23560,484256,21,20,1,1
bell_serial_O2,0.019187,6.157682,6.176869,0.815499,442287,100,2,2,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O2,0.029396,45.251737,45.281133,1329.695006,0,100,4,4,16,-1,38858544640,23560,23560,484256,21,20,1,1
bell_serial_O2,0.019302,6.149246,6.168548,0.812654,442287,100,4,4,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O2,0.061335,42.358916,42.420250,2562.774377,0,100,16,16,16,-1,157092802560,23560,23560,484256,21,20,1,1
bell_serial_O2,0.019644,6.153284,6.172928,0.797797,442287,100,16,16,16,-1,15496192,23560,23560,484256,21,20,1,1
coo_serial_O3,0.019789,6.094761,6.114550,0.786441,0,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
csr_serial_O3,0.021483,6.035425,6.056909,1071.884440,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
ell_serial_O3,0.022205,6.182798,6.205003,1051.714458,0,100,1,1,16,-1,23313091200,23560,23560,484256,21,20,1,1
bcsr_serial_O3,0.022464,43.380405,43.402869,1021.110600,0,100,1,1,16,-1,22818142720,23560,23560,484256,21,20,1,1
bell_serial_O3,0.018862,6.213266,6.232128,0.822508,442287,100,1,1,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O3,0.024276,42.624435,42.648711,1173.839406,0,100,2,2,16,-1,28164943360,23560,23560,484256,21,20,1,1
bell_serial_O3,0.019043,6.198615,6.217658,0.816933,442287,100,2,2,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O3,0.028116,45.319997,45.348113,1393.798208,0,100,4,4,16,-1,38858544640,23560,23560,484256,21,20,1,1
bell_serial_O3,0.018974,6.206932,6.225906,0.818666,442287,100,4,4,16,-1,15496192,23560,23560,484256,21,20,1,1
bcsr_serial_O3,0.056491,42.794751,42.851242,2793.691187,0,100,16,16,16,-1,157092802560,23560,23560,484256,21,20,1,1
bell_serial_O3,0.019499,6.202119,6.221618,0.798990,442287,100,16,16,16,-1,15496192,23560,23560,484256,21,20,1,1
