Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.006732,1.423224,1.429956,1.063472,0,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_serial_O1,0.008971,1.449893,1.458864,539.140624,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_serial_O1,0.030056,1.470730,1.500786,869.239590,0,100,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_serial_O1,0.011234,9.334516,9.345750,438.215530,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O1,0.006928,1.432526,1.439454,1.035511,113065,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O1,0.011691,9.044026,9.055717,493.005698,0,100,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_serial_O1,0.007507,1.474596,1.482103,0.953682,113065,100,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O1,0.013888,9.343651,9.357539,613.900479,0,100,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_serial_O1,0.008184,1.480614,1.488798,0.872970,113065,100,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O1,0.028272,9.020580,9.048852,845.865981,0,100,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_serial_O1,0.009015,1.472418,1.481433,0.791035,113065,100,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
coo_serial_O2,0.006802,1.420128,1.426930,1.038181,0,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_serial_O2,0.007840,1.434604,1.442444,624.634513,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_serial_O2,0.020572,1.474173,1.494745,1274.392569,0,100,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.008840,9.023527,9.032367,560.732828,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O2,0.006864,1.456159,1.463022,1.030870,113065,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.010321,8.869397,8.879718,587.084995,0,100,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_serial_O2,0.007350,1.457472,1.464822,0.958712,113065,100,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.010824,9.211638,9.222462,783.514587,0,100,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_serial_O2,0.008229,1.457187,1.465417,0.867916,113065,100,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.019585,8.901518,8.921103,1228.183059,0,100,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_serial_O2,0.009052,1.464315,1.473367,0.787400,113065,100,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
coo_serial_O3,0.006942,1.440366,1.447308,1.021546,0,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_serial_O3,0.007543,1.416266,1.423809,639.595410,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_serial_O3,0.020494,1.487345,1.507839,1284.393103,0,100,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.008351,9.063971,9.072322,587.135612,0,100,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O3,0.006804,1.474836,1.481640,1.033748,113065,100,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.008654,8.880861,8.889515,663.975499,0,100,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_serial_O3,0.007429,1.486998,1.494427,0.948547,113065,100,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.010320,9.217431,9.227752,829.200343,0,100,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_serial_O3,0.008462,1.475696,1.484158,0.855636,113065,100,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.017712,8.916059,8.933771,1360.560862,0,100,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_serial_O3,0.009112,1.477423,1.486535,0.782384,113065,100,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
