Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.020427,69.315861,69.336288,0.321432,0,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
csr_serial_O1,0.023812,69.628323,69.652135,1413.378290,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
ell_serial_O1,0.036693,68.833520,68.870213,1465.233480,0,100,1,1,16,-1,53687091200,81920,81920,204800,4,2,0,0
bcsr_serial_O1,0.027430,594.429949,594.457379,1225.388598,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
bell_serial_O1,0.024176,68.853084,68.877260,0.271565,122880,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O1,0.039870,562.192352,562.232222,1857.105096,0,100,2,2,16,-1,73924608000,81920,81920,204800,4,2,0,0
bell_serial_O1,0.026679,68.851879,68.878558,0.246482,122880,100,2,2,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O1,0.066858,589.753424,589.820282,2008.482152,0,100,4,4,16,-1,134217728000,81920,81920,204800,4,2,0,0
bell_serial_O1,0.031296,68.873411,68.904707,0.209836,122880,100,4,4,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O1,0.139010,559.177804,559.316814,3862.928984,0,100,16,16,16,-1,536870912000,81920,81920,204800,4,2,0,0
bell_serial_O1,0.035058,68.836849,68.871907,0.187153,122880,100,16,16,16,-1,6553600,81920,81920,204800,4,2,0,0
coo_serial_O2,0.024811,69.207910,69.232721,0.264671,0,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
csr_serial_O2,0.024438,68.708456,68.732893,1376.160563,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
ell_serial_O2,0.041033,68.757489,68.798522,1310.440792,0,100,1,1,16,-1,53687091200,81920,81920,204800,4,2,0,0
bcsr_serial_O2,0.030681,562.554080,562.584761,1095.828484,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
bell_serial_O2,0.022824,68.859106,68.881930,0.287802,122880,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O2,0.042449,550.536168,550.578617,1744.594347,0,100,2,2,16,-1,73924608000,81920,81920,204800,4,2,0,0
bell_serial_O2,0.027959,68.822262,68.850221,0.234843,122880,100,2,2,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O2,0.065532,570.757784,570.823316,2049.982651,0,100,4,4,16,-1,134217728000,81920,81920,204800,4,2,0,0
bell_serial_O2,0.032619,68.900115,68.932734,0.201217,122880,100,4,4,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O2,0.145398,562.042326,562.187724,3693.176927,0,100,16,16,16,-1,536870912000,81920,81920,204800,4,2,0,0
bell_serial_O2,0.037300,68.804043,68.841342,0.175920,122880,100,16,16,16,-1,6553600,81920,81920,204800,4,2,0,0
coo_serial_O3,0.020679,69.203942,69.224621,0.317610,0,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
csr_serial_O3,0.028154,69.569374,69.597528,1195.426644,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
ell_serial_O3,0.039510,68.782219,68.821729,1360.208366,0,100,1,1,16,-1,53687091200,81920,81920,204800,4,2,0,0
bcsr_serial_O3,0.028843,567.068191,567.097034,1165.271472,0,100,1,1,16,-1,33554432000,81920,81920,204800,4,2,0,0
bell_serial_O3,0.029311,68.891409,68.920720,0.241593,122880,100,1,1,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O3,0.048761,557.539647,557.588408,1585.297722,0,100,2,2,16,-1,73924608000,81920,81920,204800,4,2,0,0
bell_serial_O3,0.023356,72.790149,72.813505,0.281461,122880,100,2,2,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O3,0.059962,572.374271,572.434233,2240.203375,0,100,4,4,16,-1,134217728000,81920,81920,204800,4,2,0,0
bell_serial_O3,0.032246,69.606288,69.638534,0.203540,122880,100,4,4,16,-1,6553600,81920,81920,204800,4,2,0,0
bcsr_serial_O3,0.175571,554.839236,555.014807,3058.218774,0,100,16,16,16,-1,536870912000,81920,81920,204800,4,2,0,0
bell_serial_O3,0.038178,69.338459,69.376637,0.171896,122880,100,16,16,16,-1,6553600,81920,81920,204800,4,2,0,0
