Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.045781,969.193452,969.239233,7253.949367,2387987,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,104.959051,977.956257,1082.915308,3.145514,2387987,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.031600,976.584981,976.616581,10666.564187,2387987,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,52.530195,975.421029,1027.951224,6.284930,2387987,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.025932,972.063532,972.089464,13653.996316,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,26.552045,988.099792,1014.651837,12.434175,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.048570,966.486064,966.534634,10747.432637,2387992,10,2,2,16,8,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,80.198258,965.009753,1045.208011,6.455845,2387992,10,2,2,16,8,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.036782,954.160855,954.197637,14343.840216,2387992,10,2,2,16,16,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,40.179059,975.649387,1015.828445,12.886004,2387992,10,2,2,16,16,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.031633,957.594488,957.626121,17137.675465,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,20.297197,960.684357,980.981555,25.508233,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.079543,963.088832,963.168375,17859.528137,2387984,10,4,4,16,8,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,109.904017,962.707416,1072.611433,12.763681,2387984,10,4,4,16,8,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.062121,945.615362,945.677483,22859.818636,2387984,10,4,4,16,16,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,55.165861,945.861241,1001.027102,25.427997,2387984,10,4,4,16,16,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.046245,947.498358,947.544603,31290.185040,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,27.905741,944.651750,972.557491,50.267827,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.300884,945.608970,945.909854,44122.602765,2387983,10,16,16,16,8,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,262.298489,946.672723,1208.971212,50.534312,2387983,10,16,16,16,8,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.201405,946.959526,947.160931,66129.514998,2387983,10,16,16,16,16,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,131.266703,944.697154,1075.963857,100.978290,2387983,10,16,16,16,16,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_O2,0.144085,943.116435,943.260520,92491.032116,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O2,66.147576,946.139878,1012.287454,200.387058,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
