Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,69693390.682770,69.693391,0.069693,2724174,0.039658,17.693571,17.733229,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,42140164.142938,42.140164,0.042140,2724174,0.065361,17.706440,17.771801,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,13823799.147203,13.823799,0.013824,2724174,0.198133,18.796744,18.994877,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,44628688.370257,44.628688,0.044629,2724174,0.061947,17.735187,17.797134,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,27398368.636659,27.398369,0.027398,2724174,0.099992,17.813606,17.913598,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,6608121.566544,6.608122,0.006608,2724174,0.412817,18.813360,19.226177,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,32051719.742388,32.051720,0.032052,2724174,0.086064,17.704651,17.790715,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,19276616.925529,19.276617,0.019277,2724174,0.142109,17.844910,17.987020,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,4097846.401606,4.097846,0.004098,2724174,0.665862,18.818577,19.484439,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,87554789.114246,87.554789,0.087555,2724174,0.031775,17.718010,17.749785,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,57659334.813940,57.659335,0.057659,2724174,0.047803,17.798587,17.846390,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,18949989.888509,18.949990,0.018950,2724174,0.144820,18.771554,18.916374,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,56423406.129155,56.423406,0.056423,2724174,0.049044,17.732198,17.781242,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,36324282.768120,36.324283,0.036324,2724174,0.075463,17.791260,17.866723,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,9789530.866092,9.789531,0.009790,2724174,0.278664,18.759128,19.037792,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,45625741.875493,45.625742,0.045626,2724174,0.060675,17.719571,17.780246,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,26890099.139857,26.890099,0.026890,2724174,0.102649,17.804648,17.907297,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,6370069.657581,6.370070,0.006370,2724174,0.429089,18.802989,19.232078,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,98679060.526965,98.679061,0.098679,2724174,0.029488,17.723163,17.752651,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,68628002.760658,68.628003,0.068628,2724174,0.041253,17.768389,17.809642,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,23248888.740716,23.248889,0.023249,2724174,0.117775,18.746420,18.864195,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,72644039.925038,72.644040,0.072644,2724174,0.039724,17.719056,17.758781,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,43755319.012479,43.755319,0.043755,2724174,0.063509,17.749301,17.812810,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,12485023.334122,12.485023,0.012485,2724174,0.218570,18.821747,19.040316,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,51411834.747355,51.411835,0.051412,2724174,0.054298,17.731044,17.785342,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,32435651.280999,32.435651,0.032436,2724174,0.084695,17.753957,17.838652,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,8362509.136438,8.362509,0.008363,2724174,0.326967,18.739794,19.066761,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
