Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,136346689.451752,136.346689,0.136347,2724174,0.027804,82.263615,82.291419,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,110555440.407152,110.555440,0.110555,2724174,0.032403,82.171412,82.203815,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,15679438.594387,15.679439,0.015679,2724174,0.177680,84.225229,84.402909,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,79508060.637498,79.508061,0.079508,2724174,0.038655,82.945840,82.984495,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,44682468.585395,44.682469,0.044682,2724174,0.079969,82.210688,82.290657,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,6834860.801207,6.834861,0.006835,2724174,0.402009,83.408068,83.810077,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,59346818.906254,59.346819,0.059347,2724174,0.072292,82.099142,82.171435,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,32369806.615438,32.369807,0.032370,2724174,0.099395,82.390984,82.490379,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,4300665.487801,4.300665,0.004301,2724174,0.647283,83.990037,84.637320,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,171852135.916309,171.852136,0.171852,2724174,0.039974,82.075801,82.115775,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,143124324.101306,143.124324,0.143124,2724174,0.031534,82.859751,82.891285,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,30867561.844823,30.867562,0.030868,2724174,0.093295,84.696274,84.789569,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,117132795.208997,117.132795,0.117133,2724174,0.033877,82.587006,82.620883,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,70666062.038908,70.666062,0.070666,2724174,0.055751,83.099104,83.154855,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,11969485.944637,11.969486,0.011969,2724174,0.234198,83.823970,84.058168,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,81668764.161158,81.668764,0.081669,2724174,0.043506,82.384631,82.428136,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,51893604.711827,51.893605,0.051894,2724174,0.058640,82.069739,82.128379,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,7346772.631885,7.346773,0.007347,2724174,0.384352,83.476418,83.860770,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,205687709.249435,205.687709,0.205688,2724174,0.024838,82.394958,82.419796,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,148849911.752518,148.849912,0.148850,2724174,0.026507,83.037756,83.064263,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,39509104.376355,39.509104,0.039509,2724174,0.093862,83.402686,83.496548,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,137302594.455390,137.302594,0.137303,2724174,0.032464,82.816342,82.848806,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,98152123.589494,98.152124,0.098152,2724174,0.036298,83.139502,83.175800,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,16602886.416019,16.602886,0.016603,2724174,0.179629,83.285052,83.464681,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,75561492.115694,75.561492,0.075561,2724174,0.052851,83.036106,83.088957,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,62468412.040291,62.468412,0.062468,2724174,0.052104,81.869904,81.922008,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,10853515.848008,10.853516,0.010854,2724174,0.257479,84.024767,84.282246,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
