Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,126512.806749,0.126513,0.000127,2724174,21.537540,17.541400,39.078940,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,127991.162359,0.127991,0.000128,2724174,21.287717,17.674667,38.962384,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,126439.288250,0.126439,0.000126,2724174,21.548195,18.669137,40.217332,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,124900.138746,0.124900,0.000125,2724174,21.814317,17.608346,39.422663,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,127499.414502,0.127499,0.000127,2724174,21.373861,17.684856,39.058717,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,124011.010008,0.124011,0.000124,2724174,21.982944,18.618272,40.601216,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,125423.030515,0.125423,0.000125,2724174,21.727582,17.662902,39.390484,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,126274.198452,0.126274,0.000126,2724174,21.574482,17.673510,39.247992,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,121716.647897,0.121717,0.000122,2724174,22.386557,18.373018,40.759575,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,226349.748560,0.226350,0.000226,2724174,12.036189,17.585624,29.621813,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,221443.560834,0.221444,0.000221,2724174,12.303037,17.712336,30.015373,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,222133.159568,0.222133,0.000222,2724174,12.264406,18.643633,30.908039,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,223074.584333,0.223075,0.000223,2724174,12.213433,17.616324,29.829757,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,221534.717515,0.221535,0.000222,2724174,12.300967,17.707245,30.008212,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,216377.715035,0.216378,0.000216,2724174,12.591827,18.674235,31.266063,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,214279.538738,0.214280,0.000214,2724174,12.804340,17.597206,30.401546,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,224357.134434,0.224357,0.000224,2724174,12.143111,17.667944,29.811055,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,205438.558277,0.205439,0.000205,2724174,13.272235,18.720026,31.992261,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,388041.693697,0.388042,0.000388,2724174,7.020899,17.620760,24.641659,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,386298.020697,0.386298,0.000386,2724174,7.052263,17.654052,24.706315,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,371459.903299,0.371460,0.000371,2724174,7.333809,18.666272,26.000081,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,378461.449141,0.378461,0.000378,2724174,7.198188,17.580671,24.778859,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,380360.870904,0.380361,0.000380,2724174,7.162325,17.721338,24.883663,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,372093.884028,0.372094,0.000372,2724174,7.321367,18.706730,26.028097,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,382765.173939,0.382765,0.000383,2724174,7.117549,17.655666,24.773215,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,367947.412067,0.367947,0.000368,2724174,7.404823,17.707999,25.112822,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,358397.233380,0.358397,0.000358,2724174,7.601204,18.703365,26.304569,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
