Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,158415.152398,0.158415,0.000158,2724174,24.078629,89.830168,113.908797,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,167784.741231,0.167785,0.000168,2724174,20.985927,90.225174,111.211101,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,181043.770572,0.181044,0.000181,2724174,16.430767,92.055135,108.485902,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,171313.262241,0.171313,0.000171,2724174,18.465764,89.234591,107.700355,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,183540.116687,0.183540,0.000184,2724174,18.475008,91.031072,109.506080,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,154661.234912,0.154661,0.000155,2724174,19.223161,91.841304,111.064465,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,182478.132367,0.182478,0.000182,2724174,18.375009,90.316358,108.691367,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,157842.353864,0.157842,0.000158,2724174,18.423629,89.871797,108.295426,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,162999.471731,0.162999,0.000163,2724174,20.449369,91.789938,112.239307,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,223501.241533,0.223501,0.000224,2724174,15.477401,90.707479,106.184880,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,232845.226187,0.232845,0.000233,2724174,15.576975,90.469456,106.046431,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,242098.226839,0.242098,0.000242,2724174,14.513411,92.271547,106.784959,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,223348.324580,0.223348,0.000223,2724174,14.740897,90.887913,105.628810,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,253232.796058,0.253233,0.000253,2724174,12.844638,90.258650,103.103288,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,228987.658135,0.228988,0.000229,2724174,14.092459,92.055630,106.148089,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,220264.162924,0.220264,0.000220,2724174,16.691569,90.479021,107.170590,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,244539.010755,0.244539,0.000245,2724174,15.191963,90.290206,105.482169,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,216039.583763,0.216040,0.000216,2724174,15.491176,91.570790,107.061966,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,253074.493130,0.253074,0.000253,2724174,12.610395,90.269576,102.879972,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,266000.449844,0.266000,0.000266,2724174,13.292375,89.766440,103.058815,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,283369.741770,0.283370,0.000283,2724174,12.636358,92.086683,104.723041,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,211817.374555,0.211817,0.000212,2724174,14.273452,89.575352,103.848804,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,224914.683681,0.224915,0.000225,2724174,14.116987,90.728842,104.845829,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,271101.226769,0.271101,0.000271,2724174,12.462547,91.791398,104.253945,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,248952.109913,0.248952,0.000249,2724174,13.432567,90.119032,103.551599,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,245349.638778,0.245350,0.000245,2724174,13.160799,88.787136,101.947935,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP Transpose,O2,243847.763471,0.243848,0.000244,2724174,14.074791,92.969361,107.044152,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
