Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.174232,159.642079,159.816311,0.890420,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,170.214817,157.939718,328.154535,0.000256,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.046215,168.320167,168.366382,1.522135,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,86.051499,169.668041,255.719540,0.000507,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.053528,165.510695,165.564223,2.263719,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,45.459427,175.162768,220.622196,0.000959,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.039689,165.385610,165.425298,1.246431,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,178.480054,165.297328,343.777382,0.000244,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.070163,165.189729,165.259892,1.478870,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,90.191982,165.512452,255.704435,0.000483,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.013793,165.241498,165.255291,3.271267,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,47.598667,157.919638,205.518305,0.000916,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.084439,165.457258,165.541697,1.091382,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,197.807627,164.988430,362.796057,0.000220,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.058281,165.104904,165.163185,1.680423,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,99.956299,165.143130,265.099428,0.000436,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.046430,174.533542,174.579972,2.382102,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,52.677895,174.382242,227.060137,0.000827,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.040368,174.646339,174.686707,1.129588,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,230.721414,165.037223,395.758637,0.000189,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.062915,165.195989,165.258904,1.647067,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,116.518146,174.329399,290.847544,0.000374,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O2,0.064850,165.215168,165.280018,2.171869,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O2,61.640004,168.978565,230.618569,0.000707,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
