Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.077087,178.318758,178.395845,0.985058,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,170.095508,172.908530,343.004038,0.000256,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.050703,174.336601,174.387304,1.831803,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,85.902117,168.366303,254.268420,0.000507,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.032328,157.195260,157.227588,2.766551,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,45.545135,167.827139,213.372274,0.000957,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.173980,152.927032,153.101012,0.905800,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,178.483804,168.798991,347.282795,0.000244,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.070976,165.634735,165.705711,1.437783,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,90.206258,167.578952,257.785210,0.000483,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.045449,178.335614,178.381063,2.133576,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,47.747178,166.862957,214.610135,0.000913,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.166417,156.458058,156.624475,0.722005,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,197.945751,166.974946,364.920697,0.000220,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.072946,176.435378,176.508324,1.358645,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,100.012539,169.118109,269.130648,0.000436,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.046228,172.330563,172.376791,1.768978,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,52.862193,178.468517,231.330710,0.000825,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.066450,167.973138,168.039588,1.013436,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,230.951820,170.180240,401.132060,0.000189,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.084506,176.180943,176.265449,1.258472,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,116.667189,171.086981,287.754170,0.000374,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.070285,178.224271,178.294556,2.268427,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,61.793003,169.520933,231.313936,0.000705,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
