Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.054998,17.500345,17.555343,0.792602,0,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
csr_serial_O2,0.056626,17.878033,17.934659,5831.428404,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
ell_serial_O2,0.072560,18.143387,18.215947,9718.630320,0,10,1,1,16,-1,705000041472,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.061137,969.735261,969.796398,5400.675650,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.055965,18.098912,18.154877,0.778942,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.069413,948.118340,948.187753,7459.433447,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.060676,18.160394,18.221070,0.718453,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.136471,946.952436,947.088907,10281.481679,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.062561,18.137773,18.200334,0.696783,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.941534,945.863311,946.804845,14078.271717,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.062830,17.891445,17.954275,0.693783,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
