Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1900999043.324084,1900.999043,1.900999,227403136,0.120288,22.382765,22.503053,32,10,2,2,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,1555630854.127082,1555.630854,1.555631,227403136,0.275840,23.159081,23.434921,32,10,16,16,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,4502912152.685224,4502.912153,4.502912,909612544,0.255904,22.457707,22.713611,128,10,2,2,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,3564579158.054137,3564.579158,3.564579,909612544,0.381257,23.391579,23.772836,128,10,16,16,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,7048137624.477295,7048.137624,7.048138,1819225088,0.272348,22.492143,22.764491,256,10,2,2,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,5611498260.825162,5611.498261,5.611498,1819225088,0.363267,23.289284,23.652551,256,10,16,16,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,1809326073.075158,1809.326073,1.809326,227403136,0.126136,22.514017,22.640153,32,10,2,2,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,2465209301.247434,2465.209301,2.465209,227403136,0.106353,23.329387,23.435740,32,10,16,16,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,3777696629.079732,3777.696629,3.777697,909612544,0.275923,22.529973,22.805896,128,10,2,2,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,4653707233.155463,4653.707233,4.653707,909612544,0.200039,23.361304,23.561343,128,10,16,16,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,4548459699.726113,4548.459700,4.548460,1819225088,0.509452,22.459539,22.968991,256,10,2,2,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,7291852565.336447,7291.852565,7.291853,1819225088,0.254550,23.226043,23.480593,256,10,16,16,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,1060644204.096204,1060.644204,1.060644,227403136,0.263956,22.480826,22.744782,32,10,2,2,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,2048833899.335315,2048.833899,2.048834,227403136,0.171917,23.323762,23.495679,32,10,16,16,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,2603429634.347485,2603.429634,2.603430,909612544,0.575228,22.482514,23.057742,128,10,2,2,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,4144895784.879195,4144.895785,4.144896,909612544,0.274507,23.270790,23.545297,128,10,16,16,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,4158755204.937814,4158.755205,4.158755,1819225088,0.465044,22.452780,22.917824,256,10,2,2,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,5846499625.605265,5846.499626,5.846500,1819225088,0.341814,23.242610,23.584424,256,10,16,16,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
