Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,3457998.556609,3.457999,0.003458,14212696,8.831905,22.178824,31.010729,32,10,2,2,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4079785.363194,4.079785,0.004080,14212696,5.977069,22.284618,28.261687,32,10,4,4,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3850870.391961,3.850870,0.003851,14212696,6.065155,22.978852,29.044007,32,10,16,16,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3981012.017251,3.981012,0.003981,14212696,4.998100,22.197092,27.195192,128,10,2,2,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2721599.274032,2.721599,0.002722,14212696,6.929869,22.284400,29.214269,128,10,4,4,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3060726.714992,3.060727,0.003061,14212696,6.253105,23.089788,29.342893,128,10,16,16,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3524222.624587,3.524223,0.003524,14212696,6.725608,22.228054,28.953662,256,10,2,2,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3130491.715883,3.130492,0.003130,14212696,7.735754,22.300205,30.035959,256,10,4,4,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2658383.183196,2.658383,0.002658,14212696,7.411588,22.960677,30.372265,256,10,16,16,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7417940.672280,7.417941,0.007418,14212696,3.402390,22.245364,25.647754,32,10,2,2,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7207842.538839,7.207843,0.007208,14212696,3.435013,22.321279,25.756292,32,10,4,4,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,5991393.217529,5.991393,0.005991,14212696,3.589318,23.098296,26.687614,32,10,16,16,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,6577067.976824,6.577068,0.006577,14212696,3.959747,22.176263,26.136009,128,10,2,2,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,6825453.429331,6.825453,0.006825,14212696,3.622356,22.348845,25.971201,128,10,4,4,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4100479.730577,4.100480,0.004100,14212696,4.952746,23.016017,27.968763,128,10,16,16,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,6967863.357371,6.967863,0.006968,14212696,3.806531,22.244378,26.050909,256,10,2,2,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4535781.726736,4.535782,0.004536,14212696,4.662819,22.357277,27.020096,256,10,4,4,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,5434984.178389,5.434984,0.005435,14212696,4.308032,22.961539,27.269571,256,10,16,16,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7623731.863466,7.623732,0.007624,14212696,3.356670,22.160580,25.517250,32,10,2,2,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,8251555.434003,8.251555,0.008252,14212696,3.393232,22.434520,25.827752,32,10,4,4,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7635095.319587,7.635095,0.007635,14212696,3.432546,22.975210,26.407756,32,10,16,16,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,8366457.140782,8.366457,0.008366,14212696,3.560744,22.254235,25.814979,128,10,2,2,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,6231774.447493,6.231774,0.006232,14212696,3.970223,22.287940,26.258163,128,10,4,4,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,8193224.620212,8.193225,0.008193,14212696,2.996870,22.957021,25.953891,128,10,16,16,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,8853574.002485,8.853574,0.008854,14212696,3.437242,22.238113,25.675355,256,10,2,2,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,8077785.893211,8.077786,0.008078,14212696,3.434006,22.307208,25.741214,256,10,4,4,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7443712.281972,7.443712,0.007444,14212696,3.234477,23.003068,26.237545,256,10,16,16,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
