,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,179412301.232512,179.412301,0.179412,14212696,0.079221,7.644606,7.723827,32,10,2,2,16,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
1,BCSR Serial,O2,127621677.160285,127.621677,0.127622,14212696,0.111368,7.659257,7.770625,32,10,4,4,16,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
2,BCSR Serial,O2,51217079.008473,51.217079,0.051217,14212696,0.277501,8.131753,8.409254,32,10,16,16,16,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
3,BCSR Serial,O2,73545940.931272,73.545941,0.073546,14212696,0.193256,7.563504,7.75676,128,10,2,2,64,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
4,BCSR Serial,O2,49322303.614907,49.322304,0.049322,14212696,0.288165,7.740891,8.029056,128,10,4,4,64,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
5,BCSR Serial,O2,18312654.027484,18.312654,0.018313,14212696,0.776114,8.170156,8.94627,128,10,16,16,64,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
6,BCSR Serial,O2,39333424.708442,39.333425,0.039333,14212696,0.361353,7.606296,7.967649,256,10,2,2,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
7,BCSR Serial,O2,26356206.110293,26.356206,0.026356,14212696,0.539256,7.691653,8.230909,256,10,4,4,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
8,BCSR Serial,O2,9959521.376773,9.959521,0.00996,14212696,1.427047,8.142444,9.569491,256,10,16,16,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
9,BCSR Serial,O2,2847060158.831334,2847.060159,2.84706,227403136,0.079874,7.57025,7.650124,32,10,2,2,16,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
10,BCSR Serial,O2,929633920.626464,929.633921,0.929634,227403136,0.24462,8.134574,8.379194,32,10,16,16,16,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
11,BCSR Serial,O2,4822456476.955313,4822.456477,4.822456,909612544,0.188628,7.450132,7.63876,128,10,2,2,64,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
12,BCSR Serial,O2,1143630320.218221,1143.63032,1.14363,909612544,0.795374,7.981018,8.776392,128,10,16,16,64,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
13,BCSR Serial,O2,5587710369.625539,5587.71037,5.58771,1819225088,0.325594,7.486251,7.811845,256,10,2,2,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
14,BCSR Serial,O2,1393766503.972548,1393.766504,1.393767,1819225088,1.305262,7.960973,9.266235,256,10,16,16,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48
