Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.169702,47.413158,47.582860,1.340120,0,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
csr_serial_O1,0.236242,44.794121,45.030363,3840.773939,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
ell_serial_O1,0.468232,46.745481,47.213713,5169.944160,0,100,1,1,16,-1,2420722404936,63838,63838,7106348,297,111,2339,48
bcsr_serial_O1,0.279925,581.631903,581.911828,3241.383412,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
bell_serial_O1,0.169908,46.369826,46.539734,1.338498,3553832,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O1,0.318509,583.676683,583.995192,3639.110946,0,100,2,2,16,-1,1159052431376,63838,63838,7106348,297,111,2339,48
bell_serial_O1,0.174668,46.406148,46.580816,1.301958,3553832,100,2,2,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O1,0.399453,596.439386,596.838839,4375.331406,0,100,4,4,16,-1,1747698543744,63838,63838,7106348,297,111,2339,48
bell_serial_O1,0.180815,46.156832,46.337647,1.257749,3553832,100,4,4,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O1,1.046114,589.212451,590.258565,4736.051685,0,100,16,16,16,-1,4954433473536,63838,63838,7106348,297,111,2339,48
bell_serial_O1,0.192510,46.283263,46.475773,1.181328,3553832,100,16,16,16,-1,227403136,63838,63838,7106348,297,111,2339,48
coo_serial_O2,0.173488,45.061545,45.235032,1.310861,0,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
csr_serial_O2,0.197991,44.793448,44.991439,4582.868865,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
ell_serial_O2,0.342078,46.514526,46.856604,7076.727706,0,100,1,1,16,-1,2420722404936,63838,63838,7106348,297,111,2339,48
bcsr_serial_O2,0.199650,511.212593,511.412243,4544.761905,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
bell_serial_O2,0.172178,46.313409,46.485587,1.320863,3553832,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O2,0.228263,518.775416,519.003679,5077.986210,0,100,2,2,16,-1,1159052431376,63838,63838,7106348,297,111,2339,48
bell_serial_O2,0.177211,46.370049,46.547260,1.283306,3553832,100,2,2,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O2,0.285289,527.379949,527.665238,6126.289172,0,100,4,4,16,-1,1747698543744,63838,63838,7106348,297,111,2339,48
bell_serial_O2,0.184432,46.353960,46.538392,1.233082,3553832,100,4,4,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O2,0.722829,529.574077,530.296906,6854.303665,0,100,16,16,16,-1,4954433473536,63838,63838,7106348,297,111,2339,48
bell_serial_O2,0.194978,46.484692,46.679670,1.166375,3553832,100,16,16,16,-1,227403136,63838,63838,7106348,297,111,2339,48
coo_serial_O3,0.172005,44.836632,45.008637,1.322166,0,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
csr_serial_O3,0.197748,45.019789,45.217537,4588.512034,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
ell_serial_O3,0.334595,46.515975,46.850570,7235.011810,0,100,1,1,16,-1,2420722404936,63838,63838,7106348,297,111,2339,48
bcsr_serial_O3,0.194017,511.220876,511.414893,4676.739640,0,100,1,1,16,-1,907310087248,63838,63838,7106348,297,111,2339,48
bell_serial_O3,0.171509,46.350156,46.521665,1.326008,3553832,100,1,1,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O3,0.213205,526.997894,527.211099,5436.662228,0,100,2,2,16,-1,1159052431376,63838,63838,7106348,297,111,2339,48
bell_serial_O3,0.176763,46.344070,46.520834,1.286602,3553832,100,2,2,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O3,0.271109,528.021295,528.292404,6446.757432,0,100,4,4,16,-1,1747698543744,63838,63838,7106348,297,111,2339,48
bell_serial_O3,0.182886,46.440440,46.623326,1.243470,3553832,100,4,4,16,-1,227403136,63838,63838,7106348,297,111,2339,48
bcsr_serial_O3,0.652045,540.393672,541.045717,7598.380794,0,100,16,16,16,-1,4954433473536,63838,63838,7106348,297,111,2339,48
bell_serial_O3,0.193860,46.261585,46.455445,1.173110,3553832,100,16,16,16,-1,227403136,63838,63838,7106348,297,111,2339,48
