Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,143562528.751749,143.562529,0.143563,1335872,0.011256,0.156691,0.167947,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,494599841.113108,494.599841,0.494600,1335872,0.004885,0.111768,0.116652,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,585882654.510202,585.882655,0.585883,5343488,0.010721,0.179514,0.190235,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1128066695.037361,1128.066695,1.128067,5343488,0.007397,0.108718,0.116114,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1206353315.714285,1206.353316,1.206353,10686976,0.009119,0.103028,0.112147,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1659872473.756259,1659.872474,1.659872,10686976,0.010136,0.128628,0.138764,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,124903840.413521,124.903840,0.124904,1335872,0.012601,0.097131,0.109732,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,622577768.436603,622.577768,0.622578,1335872,0.003295,0.115016,0.118311,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,524216646.621621,524.216647,0.524217,5343488,0.011779,0.103361,0.115140,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1580694666.661581,1580.694667,1.580695,5343488,0.005036,0.108941,0.113977,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,990113704.649986,990.113705,0.990114,10686976,0.011369,0.118266,0.129635,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,2401053153.059420,2401.053153,2.401053,10686976,0.007084,0.109002,0.116086,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,99364828.255324,99.364828,0.099365,1335872,0.016939,0.118091,0.135030,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,546270620.801854,546.270621,0.546271,1335872,0.004675,0.188679,0.193354,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,443648429.850940,443.648430,0.443648,5343488,0.013606,0.099430,0.113036,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1515913712.597313,1515.913713,1.515914,5343488,0.007464,0.112236,0.119700,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,924770398.239124,924.770398,0.924770,10686976,0.012349,0.096304,0.108653,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,2623315662.314225,2623.315662,2.623316,10686976,0.004841,0.108449,0.113290,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
