Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,225275359.825100,225.275360,0.225275,1335872,0.008318,0.361836,0.370154,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,433525019.908444,433.525020,0.433525,1335872,0.003939,0.426091,0.430030,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,681963040.650873,681.963041,0.681963,5343488,0.009789,0.386964,0.396753,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1246113120.013022,1246.113120,1.246113,5343488,0.005265,0.425236,0.430501,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1106402039.776598,1106.402040,1.106402,10686976,0.010933,0.413542,0.424476,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1583647774.067896,1583.647774,1.583648,10686976,0.008199,0.427825,0.436024,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,99237602.516106,99.237603,0.099238,1335872,0.020616,0.401533,0.422149,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,405846234.778139,405.846235,0.405846,1335872,0.006910,0.422071,0.428981,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,373583311.606083,373.583312,0.373583,5343488,0.026682,0.406422,0.433104,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1178230311.456714,1178.230311,1.178230,5343488,0.008567,0.430253,0.438820,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,868720230.602965,868.720231,0.868720,10686976,0.019567,0.410298,0.429865,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,1435366875.448415,1435.366875,1.435367,10686976,0.012952,0.429397,0.442349,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,68573187.579611,68.573188,0.068573,1335872,0.062749,0.412599,0.475348,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,205602560.344777,205.602560,0.205603,1335872,0.020427,0.424828,0.445255,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,307071224.676954,307.071225,0.307071,5343488,0.071383,0.407104,0.478487,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,602553575.053919,602.553575,0.602554,5343488,0.015223,0.427577,0.442800,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,527560053.075331,527.560053,0.527560,10686976,0.057142,0.412900,0.470042,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,891849635.054160,891.849635,0.891850,10686976,0.038627,0.557172,0.595799,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
