,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,350111719.498055,350.111719,0.350112,1335872,0.005047,0.361,0.366047,0,10,4,4,16,8,8192,8192,41746,83492,8,5,1.0,0,0
1,BCSR OMP,O2,1328768724.570678,1328.768725,1.328769,5343488,0.004879,0.404381,0.40926,0,10,4,4,64,8,8192,8192,41746,83492,8,5,1.0,0,0
2,BCSR OMP,O2,1727763207.739647,1727.763208,1.727763,10686976,0.006974,0.409065,0.416038,0,10,4,4,128,8,8192,8192,41746,83492,8,5,1.0,0,0
3,BCSR OMP,O2,216196423.899162,216.196424,0.216196,1335872,0.012596,0.413777,0.426373,0,10,4,4,16,16,8192,8192,41746,83492,8,5,1.0,0,0
4,BCSR OMP,O2,814671489.720343,814.67149,0.814671,5343488,0.013033,0.40935,0.422383,0,10,4,4,64,16,8192,8192,41746,83492,8,5,1.0,0,0
5,BCSR OMP,O2,1279808064.587033,1279.808065,1.279808,10686976,0.015735,0.41749,0.433225,0,10,4,4,128,16,8192,8192,41746,83492,8,5,1.0,0,0
6,BCSR OMP,O2,107671161.106857,107.671161,0.107671,1335872,0.050102,0.413725,0.463827,0,10,4,4,16,32,8192,8192,41746,83492,8,5,1.0,0,0
7,BCSR OMP,O2,507946190.269375,507.94619,0.507946,5343488,0.044023,0.414455,0.458478,0,10,4,4,64,32,8192,8192,41746,83492,8,5,1.0,0,0
8,BCSR OMP,O2,860894790.128458,860.89479,0.860895,10686976,0.032411,0.414701,0.447112,0,10,4,4,128,32,8192,8192,41746,83492,8,5,1.0,0,0
9,BCSR OMP,O2,225275359.8251,225.27536,0.225275,1335872,0.008318,0.361836,0.370154,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.0,0,0
10,BCSR OMP,O2,433525019.908444,433.52502,0.433525,1335872,0.003939,0.426091,0.43003,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.0,0,0
11,BCSR OMP,O2,681963040.650873,681.963041,0.681963,5343488,0.009789,0.386964,0.396753,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.0,0,0
12,BCSR OMP,O2,1246113120.013022,1246.11312,1.246113,5343488,0.005265,0.425236,0.430501,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.0,0,0
13,BCSR OMP,O2,1106402039.776598,1106.40204,1.106402,10686976,0.010933,0.413542,0.424476,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.0,0,0
14,BCSR OMP,O2,1583647774.067896,1583.647774,1.583648,10686976,0.008199,0.427825,0.436024,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.0,0,0
15,BCSR OMP,O2,99237602.516106,99.237603,0.099238,1335872,0.020616,0.401533,0.422149,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.0,0,0
16,BCSR OMP,O2,405846234.778139,405.846235,0.405846,1335872,0.00691,0.422071,0.428981,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.0,0,0
17,BCSR OMP,O2,373583311.606083,373.583312,0.373583,5343488,0.026682,0.406422,0.433104,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.0,0,0
18,BCSR OMP,O2,1178230311.456714,1178.230311,1.17823,5343488,0.008567,0.430253,0.43882,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.0,0,0
19,BCSR OMP,O2,868720230.602965,868.720231,0.86872,10686976,0.019567,0.410298,0.429865,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.0,0,0
20,BCSR OMP,O2,1435366875.448415,1435.366875,1.435367,10686976,0.012952,0.429397,0.442349,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.0,0,0
21,BCSR OMP,O2,68573187.579611,68.573188,0.068573,1335872,0.062749,0.412599,0.475348,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.0,0,0
22,BCSR OMP,O2,205602560.344777,205.60256,0.205603,1335872,0.020427,0.424828,0.445255,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.0,0,0
23,BCSR OMP,O2,307071224.676954,307.071225,0.307071,5343488,0.071383,0.407104,0.478487,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.0,0,0
24,BCSR OMP,O2,602553575.053919,602.553575,0.602554,5343488,0.015223,0.427577,0.4428,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.0,0,0
25,BCSR OMP,O2,527560053.075331,527.560053,0.52756,10686976,0.057142,0.4129,0.470042,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.0,0,0
26,BCSR OMP,O2,891849635.05416,891.849635,0.89185,10686976,0.038627,0.557172,0.595799,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.0,0,0
