Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,1689971.989593,1.689972,0.001690,83492,0.054875,0.188230,0.243105,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1697611.140387,1.697611,0.001698,83492,0.050624,0.106564,0.157188,0,10,4,4,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1622379.457687,1.622379,0.001622,83492,0.056683,0.150012,0.206695,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1670886.686808,1.670887,0.001671,83492,0.050932,0.108770,0.159702,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1608801.527809,1.608802,0.001609,83492,0.055509,0.108940,0.164449,0,10,4,4,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1425255.638222,1.425256,0.001425,83492,0.063162,0.207796,0.270958,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1593762.898471,1.593763,0.001594,83492,0.056542,0.107995,0.164537,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1565661.698416,1.565662,0.001566,83492,0.054710,0.199822,0.254532,0,10,4,4,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,1257574.354030,1.257574,0.001258,83492,0.071599,0.210937,0.282536,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3107266.020987,3.107266,0.003107,83492,0.031966,0.104194,0.136160,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3181483.426310,3.181483,0.003181,83492,0.027649,0.114726,0.142375,0,10,4,4,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3080753.483462,3.080753,0.003081,83492,0.031865,0.131666,0.163531,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3044261.429696,3.044261,0.003044,83492,0.032933,0.194410,0.227343,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3018897.447679,3.018897,0.003019,83492,0.030901,0.194813,0.225714,0,10,4,4,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,2719632.400707,2.719632,0.002720,83492,0.035714,0.114775,0.150490,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,3099584.207416,3.099584,0.003100,83492,0.028087,0.108965,0.137052,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,2958790.558821,2.958791,0.002959,83492,0.030419,0.105061,0.135480,0,10,4,4,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,2382368.717580,2.382369,0.002382,83492,0.041303,0.136679,0.177982,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5629847.831638,5.629848,0.005630,83492,0.020578,0.190299,0.210877,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5685127.069093,5.685127,0.005685,83492,0.016974,0.105080,0.122053,0,10,4,4,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5640074.198477,5.640074,0.005640,83492,0.017312,0.114809,0.132121,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5771411.746297,5.771412,0.005771,83492,0.015982,0.165807,0.181789,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5624988.799244,5.624989,0.005625,83492,0.016396,0.105163,0.121559,0,10,4,4,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,4924886.331217,4.924886,0.004925,83492,0.023221,0.146507,0.169728,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5532856.877176,5.532857,0.005533,83492,0.017110,0.181997,0.199108,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,5361913.167860,5.361913,0.005362,83492,0.019891,0.106662,0.126553,0,10,4,4,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP Transpose,O2,4342411.841900,4.342412,0.004342,83492,0.025238,0.155052,0.180290,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
