Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.002790,0.748224,0.751014,0.485478,0,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
csr_serial_O1,0.003322,0.744731,0.748053,208.162158,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
ell_serial_O1,0.004843,0.777402,0.782245,221.741272,0,100,1,1,16,-1,1073741824,8192,8192,41746,8,5,0,0
bcsr_serial_O1,0.003754,4.636913,4.640667,183.918121,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
bell_serial_O1,0.002760,0.768755,0.771515,0.484030,41326,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O1,0.005918,4.483228,4.489146,233.317667,0,100,2,2,16,-1,1374158848,8192,8192,41746,8,5,0,0
bell_serial_O1,0.002802,0.769777,0.772579,0.476778,41326,100,2,2,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O1,0.009566,4.659667,4.669233,288.379788,0,100,4,4,16,-1,2746220544,8192,8192,41746,8,5,0,0
bell_serial_O1,0.002782,0.760670,0.763453,0.480186,41326,100,4,4,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O1,0.029667,4.475258,4.504926,364.784561,0,100,16,16,16,-1,10787749888,8192,8192,41746,8,5,0,0
bell_serial_O1,0.003069,0.759458,0.762527,0.435369,41326,100,16,16,16,-1,1335872,8192,8192,41746,8,5,0,0
coo_serial_O2,0.002852,0.754265,0.757117,0.468507,0,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
csr_serial_O2,0.003288,0.748439,0.751727,210.415177,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
ell_serial_O2,0.005172,0.756466,0.761638,212.610314,0,100,1,1,16,-1,1073741824,8192,8192,41746,8,5,0,0
bcsr_serial_O2,0.003777,4.509550,4.513327,184.508543,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
bell_serial_O2,0.002948,0.768304,0.771252,0.459269,41326,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O2,0.005954,4.431813,4.437767,235.359216,0,100,2,2,16,-1,1374158848,8192,8192,41746,8,5,0,0
bell_serial_O2,0.002957,0.769537,0.772494,0.457764,41326,100,2,2,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O2,0.009654,4.624876,4.634530,287.465260,0,100,4,4,16,-1,2746220544,8192,8192,41746,8,5,0,0
bell_serial_O2,0.003019,0.774105,0.777124,0.448271,41326,100,4,4,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O2,0.031013,4.469280,4.500293,349.122300,0,100,16,16,16,-1,10787749888,8192,8192,41746,8,5,0,0
bell_serial_O2,0.003199,0.759140,0.762339,0.422503,41326,100,16,16,16,-1,1335872,8192,8192,41746,8,5,0,0
coo_serial_O3,0.002851,0.760860,0.763711,0.468699,0,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
csr_serial_O3,0.003294,0.749740,0.753035,209.979374,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
ell_serial_O3,0.005021,0.760127,0.765148,217.898728,0,100,1,1,16,-1,1073741824,8192,8192,41746,8,5,0,0
bcsr_serial_O3,0.003645,4.536500,4.540145,189.541049,0,100,1,1,16,-1,683966464,8192,8192,41746,8,5,0,0
bell_serial_O3,0.002926,0.770366,0.773292,0.456557,41326,100,1,1,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O3,0.005592,4.399541,4.405133,248.368640,0,100,2,2,16,-1,1374158848,8192,8192,41746,8,5,0,0
bell_serial_O3,0.002959,0.761361,0.764320,0.457377,41326,100,2,2,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O3,0.009152,4.578862,4.588014,302.994514,0,100,4,4,16,-1,2746220544,8192,8192,41746,8,5,0,0
bell_serial_O3,0.002977,0.770235,0.773212,0.448791,41326,100,4,4,16,-1,1335872,8192,8192,41746,8,5,0,0
bcsr_serial_O3,0.029094,4.399197,4.428290,372.013958,0,100,16,16,16,-1,10787749888,8192,8192,41746,8,5,0,0
bell_serial_O3,0.003144,0.758505,0.761649,0.430022,41326,100,16,16,16,-1,1335872,8192,8192,41746,8,5,0,0
