Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000518,1.381165,1.381683,21.925105,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000734,1.342805,1.343539,20.553326,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.000884,1.342315,1.343200,20.559006,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000704,1.346538,1.347243,20.459071,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.000891,1.344660,1.345551,20.990601,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.001086,1.347498,1.348584,18.478189,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.001175,1.427347,1.428522,16.365280,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000719,1.426708,1.427427,20.320168,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000824,1.343732,1.344556,19.822138,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000777,1.346086,1.346863,20.464849,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.001064,1.344742,1.345806,18.033204,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000775,1.427004,1.427779,20.557876,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000762,1.347895,1.348657,19.815387,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000738,1.342329,1.343067,20.658837,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000690,1.345915,1.346605,20.689558,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000755,1.345049,1.345804,20.855798,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000674,1.345255,1.345929,19.844980,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000827,1.345966,1.346793,20.871205,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000741,1.345148,1.345889,20.774076,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.001096,1.340276,1.341372,18.832108,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000732,1.344265,1.344997,20.765286,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000621,1.345588,1.346209,21.629230,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000698,1.344176,1.344874,20.772869,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000981,1.344225,1.345206,20.170612,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
