Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.014743,41.859750,41.874493,6.091447,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.014104,40.718142,40.732246,6.616083,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.013794,40.731985,40.745779,6.678820,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.012766,40.778722,40.791488,6.917119,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.014654,40.695003,40.709657,6.340826,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.011985,40.763459,40.775444,6.866850,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.014485,40.684828,40.699313,6.278949,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.013285,40.714369,40.727654,6.923388,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.013569,40.744477,40.758046,6.626140,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,0.013692,40.802986,40.816678,6.797548,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.012326,40.792359,40.804685,7.041965,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,
