Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,300127844.095923,300.127844,0.300128,28787634,0.096228,11.864935,11.961163,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,273155149.091904,273.155149,0.273155,28787634,0.105582,12.037500,12.143082,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,215181941.512394,215.181942,0.215182,28787634,0.134061,12.333372,12.467433,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,183006875.293768,183.006875,0.183007,28787634,0.157550,12.079282,12.236832,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,175881025.990222,175.881026,0.175881,28787634,0.163833,12.018378,12.182211,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,132357020.951431,132.357021,0.132357,28787634,0.217644,12.537195,12.754839,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,136014493.132746,136.014493,0.136014,28787634,0.211961,12.009421,12.221382,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,124032094.628621,124.032095,0.124032,28787634,0.232368,12.048405,12.280773,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,85848807.812308,85.848808,0.085849,28787634,0.335816,12.350987,12.686803,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,398840256.322387,398.840256,0.398840,28787634,0.072709,12.117345,12.190054,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,370851324.498745,370.851324,0.370851,28787634,0.078018,12.094169,12.172187,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,297729386.030550,297.729386,0.297729,28787634,0.097137,12.368979,12.466116,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,252607821.184899,252.607821,0.252608,28787634,0.114407,12.103908,12.218315,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,228930452.925791,228.930453,0.228930,28787634,0.126149,12.070316,12.196465,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,180001022.114365,180.001022,0.180001,28787634,0.160031,12.394324,12.554355,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,195285527.279313,195.285527,0.195286,28787634,0.147929,12.045482,12.193411,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,181564479.629191,181.564480,0.181564,28787634,0.158787,11.939903,12.098690,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,131287487.803251,131.287488,0.131287,28787634,0.219436,12.254053,12.473489,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,487679542.886023,487.679543,0.487680,28787634,0.060317,12.035880,12.096197,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,476114085.182550,476.114085,0.476114,28787634,0.061730,12.072968,12.134698,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,368751440.711927,368.751441,0.368751,28787634,0.078973,12.373662,12.452635,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,334855368.589143,334.855369,0.334855,28787634,0.086935,12.056423,12.143358,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,318071397.140021,318.071397,0.318071,28787634,0.091135,12.040752,12.131887,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,243893507.728932,243.893508,0.243894,28787634,0.118889,12.379806,12.498695,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,250120612.697566,250.120613,0.250121,28787634,0.115599,12.110643,12.226242,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,245388539.152925,245.388539,0.245389,28787634,0.118194,12.057820,12.176014,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,180690966.046252,180.690966,0.180691,28787634,0.160039,12.416124,12.576163,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
